Rep	Year	PatchID0	PatchID1	Distance	MeanNAlleles	FIS	FIT	FST	MeanD	HarmMeanD
0	40	-1	-1	-1	21.0667	-0.0109955	0.356851	0.363845	0.855363	0.854424
0	40	90	248	2875.64	5.46667	0.0154113	0.545416	0.538301	0.964142	0.957233
0	40	90	525	925.014	8.13333	0.01168	0.329394	0.321468	0.846165	0.781525
0	40	90	622	4083.97	6.33333	0.0321554	0.452313	0.434117	0.924631	0.892902
0	40	90	764	2898.04	10.6	-0.0147865	0.254714	0.265573	0.814815	0.779187
0	40	90	892	1975.16	5.6	-0.0421941	0.45057	0.472814	0.857255	0.500509
0	40	90	970	1417.36	6.13333	-0.0282193	0.459291	0.47413	0.910411	0.269223
0	40	90	1182	2832.12	11.4	0.00785745	0.271472	0.265702	0.886295	0.874321
0	40	90	1306	4201.21	6.2	-0.0010315	0.396419	0.39704	0.823308	0.770999
0	40	90	1442	3168.3	10.9333	0.0101302	0.269584	0.262109	0.793853	0.720172
0	40	90	1497	3506.38	8.33333	0.00368906	0.293512	0.290896	0.842987	0.559119
0	40	90	1555	2270.93	7.2	-0.0131473	0.360803	0.369098	0.845396	0.789617
0	40	90	1673	3370.52	5.6	-0.0228567	0.474721	0.486459	0.920634	0.898104
0	40	90	2097	4974.94	7.4	0.0154294	0.3723	0.362463	0.867935	0.806918
0	40	248	525	2438.7	6.73333	0.0150502	0.439599	0.431036	0.825523	0.684851
0	40	248	622	1270.47	4.73333	0.0420494	0.54964	0.529871	0.850687	0.654131
0	40	248	764	875.685	9.66667	-0.0173321	0.400762	0.410971	0.897557	0.874626
0	40	248	892	1611.16	3.93333	-0.0555556	0.606717	0.627416	0.935377	0.90013
0	40	248	970	3801.18	4.33333	-0.0365275	0.582008	0.596738	0.890604	0.178418
0	40	248	1182	1660.12	10.3333	0.0100769	0.398794	0.392674	0.909464	0.889784
0	40	248	1306	1765.51	4.93333	-0.000508285	0.560421	0.560644	0.966293	0.95536
0	40	248	1442	2013.31	10.2	0.0128742	0.413838	0.406193	0.934739	0.924812
0	40	248	1497	2051.25	7.46667	0.00515547	0.448077	0.445217	0.955328	0.943539
0	40	248	1555	3603.1	5.86667	-0.0157618	0.497182	0.504985	0.908481	0.856487
0	40	248	1673	2330.82	3.8	-0.0335478	0.620125	0.632455	0.94567	0.921243
0	40	248	2097	3166.2	5.8	0.0200474	0.473366	0.462592	0.818503	0.416008
0	40	525	622	3515.43	7.73333	0.0299816	0.347875	0.327719	0.789933	0.597386
0	40	525	764	2215.9	11.4	-0.012277	0.178645	0.188606	0.708727	0.598251
0	40	525	892	1157.67	7.2	-0.0352564	0.404005	0.424302	0.895963	0.846035
0	40	525	970	1363.47	7.13333	-0.0231684	0.401245	0.414803	0.893973	0.858632
