Rep	Year	PatchID0	PatchID1	Distance	MeanNAlleles	FIS	FIT	FST	MeanD	HarmMeanD
0	40	-1	-1	-1	19.7333	-0.0136351	0.48756	0.494453	0.904656	0.904185
0	40	90	248	2875.64	3.2	-0.162799	0.675943	0.721313	0.894793	0.976858
0	40	90	525	925.014	5.2	-0.104864	0.511779	0.558117	0.837263	0.709589
0	40	90	622	4083.97	3.66667	-0.09394	0.683017	0.710238	0.951942	0.908152
0	40	90	764	2898.04	7.93333	-0.0774507	0.401245	0.444286	0.867424	0.786658
0	40	90	892	1975.16	3.6	-0.125508	0.692718	0.726984	1	1
0	40	90	970	1417.36	4.13333	-0.0925584	0.648892	0.678637	0.86301	0.0197351
0	40	90	1182	2832.12	9.33333	-0.0390988	0.395907	0.418637	0.820571	0.779324
0	40	90	1306	4201.21	3.8	-0.0961538	0.596883	0.632244	0.847274	0.142737
0	40	90	1442	3168.3	8.73333	-0.0545032	0.416084	0.446264	0.896913	0.864213
0	40	90	1497	3506.38	5.73333	-0.0904577	0.491555	0.533733	0.885187	0.826826
0	40	90	1555	2270.93	5.2	-0.0696638	0.49946	0.532058	0.866784	0.638026
0	40	90	1673	3370.52	3.8	-0.155325	0.678213	0.721475	0.999484	0.99948
0	40	90	2097	4974.94	4.06667	-0.0902334	0.665844	0.693501	0.9453	0.817069
0	40	248	525	2438.7	4.86667	-0.0201781	0.545117	0.554115	0.959939	0.953381
0	40	248	622	1270.47	3.2	0.104625	0.76957	0.742644	1	1
0	40	248	764	875.685	7.46667	-0.00414757	0.389037	0.391561	0.856428	0.69664
0	40	248	892	1611.16	2.8	0.0312581	0.737616	0.729149	0.874	0.675319
0	40	248	970	3801.18	3.66667	0.051247	0.717101	0.70182	0.8708	0.553763
0	40	248	1182	1660.12	8.8	0.0429837	0.407892	0.381298	0.887214	0.840583
0	40	248	1306	1765.51	3.46667	0.0197575	0.665739	0.659002	0.937898	0.845707
0	40	248	1442	2013.31	8.2	0.0247701	0.418731	0.403968	0.897829	1.0266
0	40	248	1497	2051.25	5.8	-0.00725332	0.504113	0.507684	0.933289	0.8702
0	40	248	1555	3603.1	4.8	0.022954	0.518465	0.507152	0.874018	0.737417
0	40	248	1673	2330.82	3.2	-0.0509666	0.728698	0.741855	0.992987	0.992224
0	40	248	2097	3166.2	3.46667	0.0481023	0.717095	0.702799	0.917961	0.731745
0	40	525	622	3515.43	5.26667	-0.0100881	0.532436	0.537106	0.871449	0.622991
0	40	525	764	2215.9	9.13333	-0.034547	0.291069	0.314743	0.863578	0.828572
0	40	525	892	1157.67	5.13333	-0.0329657	0.555803	0.569979	0.929499	0.849344
0	40	525	970	1363.47	5.6	-0.020374	0.526747	0.536197	0.828758	0.595088
0	40	525	1182	1984.45	10	-0.00470035	0.267234	0.270662	0.751218	0.606343
0	40	525	1306	3473.16	5.4	-0.0296542	0.484778	0.499616	0.861779	0.684421
0	40	525	1442	2286.16	9.53333	-0.0164868	0.290325	0.301836	0.830024	0.803929
0	40	525	1497	2639.04	7.6	-0.038362	0.357379	0.381121	0.825259	0.75011
0	40	525	1555	1599.98	7	-0.0217106	0.404059	0.416722	0.935888	0.915406
0	40	525	1673	2466.4	5.4	-0.0614976	0.540972	0.567566	0.92636	0.624702
0	40	525	2097	4098.16	5.46667	-0.0204207	0.533729	0.54306	0.878345	0.779055
0	40	622	764	1353.38	7.93333	-0.00164825	0.417997	0.418955	0.889703	0.834944
0	40	622	892	2465.49	3.4	0.0382949	0.733206	0.722582	1	1
0	40	622	970	4840.96	4.06667	0.0499395	0.720311	0.705609	0.982166	0.980669
