Ash_rep,Land_rep,Replicate,Treatment,Tree_disease,Management,Patch_1,Patch_2,real_distance,FST,method
1,1,0,1,0,0,1182,90,2831.063401,0.038087881,wc
1,1,0,1,0,0,1182,248,1659.081597,0.072300287,wc
1,1,0,1,0,0,1182,525,1984.184824,0.046741823,wc
1,1,0,1,0,0,1182,622,2034.441262,0.075612031,wc
1,1,0,1,0,0,1182,764,816.9442743,0.022040631,wc
1,1,0,1,0,0,1182,892,856.610819,0.075543152,wc
1,1,0,1,0,0,1182,970,3097.985413,0.099374705,wc
1,1,0,1,0,0,1306,90,4201.531355,0.08741839,wc
1,1,0,1,0,0,1306,248,1765.570943,0.105124095,wc
1,1,0,1,0,0,1306,525,3474.060387,0.089555944,wc
1,1,0,1,0,0,1306,622,924.2300638,0.104750455,wc
1,1,0,1,0,0,1306,764,1305.648309,0.061593896,wc
1,1,0,1,0,0,1306,892,2323.367956,0.120340606,wc
1,1,0,1,0,0,1306,970,4692.578187,0.113516985,wc
1,1,0,1,0,0,1306,1182,1623.033827,0.056997503,wc
1,1,0,1,0,0,1442,90,3169.226342,0.037587408,wc
1,1,0,1,0,0,1442,248,2011.532989,0.067055209,wc
1,1,0,1,0,0,1442,525,2288.055467,0.047767803,wc
1,1,0,1,0,0,1442,622,2180.711665,0.076048446,wc
1,1,0,1,0,0,1442,764,1138.552965,0.022524276,wc
1,1,0,1,0,0,1442,892,1220.76321,0.075953079,wc
1,1,0,1,0,0,1442,970,3293.366029,0.098768079,wc
1,1,0,1,0,0,1442,1182,417.8646141,0.011772035,wc
1,1,0,1,0,0,1442,1306,1594.986002,0.056459951,wc
1,1,0,1,0,0,1497,90,3506.039738,0.068370969,wc
1,1,0,1,0,0,1497,248,2050.347009,0.105773006,wc
1,1,0,1,0,0,1497,525,2639.485916,0.056164152,wc
1,1,0,1,0,0,1497,622,1994.506981,0.094074292,wc
1,1,0,1,0,0,1497,764,1182.183756,0.045435248,wc
1,1,0,1,0,0,1497,892,1537.156653,0.08730166,wc
1,1,0,1,0,0,1497,970,3665.02159,0.0902583,wc
1,1,0,1,0,0,1497,1182,683.811243,0.03665086,wc
1,1,0,1,0,0,1497,1306,1301.340095,0.06133695,wc
1,1,0,1,0,0,1497,1442,371.7356396,0.03632428,wc
1,1,0,1,0,0,1555,90,2268.222056,0.054275444,wc
1,1,0,1,0,0,1555,248,3599.5554,0.105755704,wc
1,1,0,1,0,0,1555,525,1597.250544,0.061079364,wc
1,1,0,1,0,0,1555,622,4368.460379,0.102183047,wc
1,1,0,1,0,0,1555,764,3028.708842,0.049149718,wc
1,1,0,1,0,0,1555,892,1989.640007,0.087754253,wc
1,1,0,1,0,0,1555,970,1324.84436,0.117050497,wc
1,1,0,1,0,0,1555,1182,2376.406558,0.03427961,wc
