"","PatchID0","PatchID1","FST","Tree_disease","Management","Replicate","method"
"1025","90","248",0.355485,"0","0",1,"RS"
"1026","90","525",0.229075,"0","0",1,"RS"
"1027","90","622",0.325042,"0","0",1,"RS"
"1028","90","764",0.207409,"0","0",1,"RS"
"1029","90","892",0.387509,"0","0",1,"RS"
"1030","90","970",0.354147,"0","0",1,"RS"
"1031","90","1182",0.202219,"0","0",1,"RS"
"1032","90","1306",0.285471,"0","0",1,"RS"
"1033","90","1442",0.195582,"0","0",1,"RS"
"1034","90","1497",0.237703,"0","0",1,"RS"
"1035","90","1555",0.247785,"0","0",1,"RS"
"1036","90","1673",0.407035,"0","0",1,"RS"
"1037","90","2097",0.224178,"0","0",1,"RS"
"1038","248","525",0.285913,"0","0",1,"RS"
"1039","248","622",0.421423,"0","0",1,"RS"
"1040","248","764",0.264537,"0","0",1,"RS"
"1041","248","892",0.466226,"0","0",1,"RS"
"1042","248","970",0.433077,"0","0",1,"RS"
"1043","248","1182",0.256851,"0","0",1,"RS"
"1044","248","1306",0.362035,"0","0",1,"RS"
"1045","248","1442",0.253092,"0","0",1,"RS"
"1046","248","1497",0.313402,"0","0",1,"RS"
"1047","248","1555",0.329346,"0","0",1,"RS"
"1048","248","1673",0.455097,"0","0",1,"RS"
"1049","248","2097",0.303794,"0","0",1,"RS"
"1050","525","622",0.287649,"0","0",1,"RS"
"1051","525","764",0.128138,"0","0",1,"RS"
"1052","525","892",0.319774,"0","0",1,"RS"
"1053","525","970",0.28007,"0","0",1,"RS"
"1054","525","1182",0.106463,"0","0",1,"RS"
"1055","525","1306",0.19923,"0","0",1,"RS"
"1056","525","1442",0.109672,"0","0",1,"RS"
"1057","525","1497",0.167199,"0","0",1,"RS"
"1058","525","1555",0.174966,"0","0",1,"RS"
"1059","525","1673",0.309958,"0","0",1,"RS"
"1060","525","2097",0.155109,"0","0",1,"RS"
"1061","622","764",0.263577,"0","0",1,"RS"
"1062","622","892",0.4414,"0","0",1,"RS"
"1063","622","970",0.404442,"0","0",1,"RS"
"1064","622","1182",0.241932,"0","0",1,"RS"
"1065","622","1306",0.326333,"0","0",1,"RS"
"1066","622","1442",0.245168,"0","0",1,"RS"
"1067","622","1497",0.282226,"0","0",1,"RS"
"1068","622","1555",0.318942,"0","0",1,"RS"
"1069","622","1673",0.459932,"0","0",1,"RS"
"1070","622","2097",0.27231,"0","0",1,"RS"
"1071","764","892",0.272714,"0","0",1,"RS"
"1072","764","970",0.257481,"0","0",1,"RS"
"1073","764","1182",0.0924853,"0","0",1,"RS"
"1074","764","1306",0.17351,"0","0",1,"RS"
"1075","764","1442",0.0858259,"0","0",1,"RS"
"1076","764","1497",0.152994,"0","0",1,"RS"
"1077","764","1555",0.147928,"0","0",1,"RS"
"1078","764","1673",0.272171,"0","0",1,"RS"
"1079","764","2097",0.146531,"0","0",1,"RS"
"1080","892","970",0.457448,"0","0",1,"RS"
"1081","892","1182",0.301379,"0","0",1,"RS"
"1082","892","1306",0.383347,"0","0",1,"RS"
"1083","892","1442",0.303018,"0","0",1,"RS"
"1084","892","1497",0.327025,"0","0",1,"RS"
"1085","892","1555",0.331337,"0","0",1,"RS"
"1086","892","1673",0.43525,"0","0",1,"RS"
"1087","892","2097",0.332182,"0","0",1,"RS"
"1088","970","1182",0.248312,"0","0",1,"RS"
"1089","970","1306",0.335178,"0","0",1,"RS"
"1090","970","1442",0.221304,"0","0",1,"RS"
"1091","970","1497",0.294279,"0","0",1,"RS"
"1092","970","1555",0.30844,"0","0",1,"RS"
"1093","970","1673",0.418434,"0","0",1,"RS"
"1094","970","2097",0.283358,"0","0",1,"RS"
"1095","1182","1306",0.178012,"0","0",1,"RS"
"1096","1182","1442",0.0436978,"0","0",1,"RS"
"1097","1182","1497",0.132964,"0","0",1,"RS"
"1098","1182","1555",0.153795,"0","0",1,"RS"
"1099","1182","1673",0.265267,"0","0",1,"RS"
"1100","1182","2097",0.113546,"0","0",1,"RS"
"1101","1306","1442",0.186884,"0","0",1,"RS"
"1102","1306","1497",0.23648,"0","0",1,"RS"
"1103","1306","1555",0.236326,"0","0",1,"RS"
"1104","1306","1673",0.384456,"0","0",1,"RS"
"1105","1306","2097",0.217157,"0","0",1,"RS"
"1106","1442","1497",0.119641,"0","0",1,"RS"
"1107","1442","1555",0.150784,"0","0",1,"RS"
"1108","1442","1673",0.283011,"0","0",1,"RS"
"1109","1442","2097",0.120112,"0","0",1,"RS"
"1110","1497","1555",0.187312,"0","0",1,"RS"
"1111","1497","1673",0.332763,"0","0",1,"RS"
"1112","1497","2097",0.196942,"0","0",1,"RS"
"1113","1555","1673",0.318919,"0","0",1,"RS"
"1114","1555","2097",0.198506,"0","0",1,"RS"
"1115","1673","2097",0.335413,"0","0",1,"RS"
"10251","90","248",0.793056,"70","0",1,"RS"
"10261","90","525",0.619105,"70","0",1,"RS"
"10271","90","622",0.675533,"70","0",1,"RS"
"10281","90","764",0.426027,"70","0",1,"RS"
"10291","90","892",0.808637,"70","0",1,"RS"
"10301","90","970",0.797906,"70","0",1,"RS"
"10311","90","1182",0.404087,"70","0",1,"RS"
"10321","90","1306",0.710314,"70","0",1,"RS"
"10331","90","1442",0.449068,"70","0",1,"RS"
"10341","90","1497",0.521485,"70","0",1,"RS"
"10351","90","1555",0.616874,"70","0",1,"RS"
"10361","90","1673",0.772895,"70","0",1,"RS"
"10371","90","2097",0.51291,"70","0",1,"RS"
"10381","248","525",0.799574,"70","0",1,"RS"
"10391","248","622",0.856053,"70","0",1,"RS"
"10401","248","764",0.629173,"70","0",1,"RS"
"10411","248","892",0.970026,"70","0",1,"RS"
"10421","248","970",0.966574,"70","0",1,"RS"
"10431","248","1182",0.604588,"70","0",1,"RS"
"10441","248","1306",0.875235,"70","0",1,"RS"
"10451","248","1442",0.596237,"70","0",1,"RS"
"10461","248","1497",0.679285,"70","0",1,"RS"
"10471","248","1555",0.787843,"70","0",1,"RS"
"10481","248","1673",0.959474,"70","0",1,"RS"
"10491","248","2097",0.681261,"70","0",1,"RS"
"10501","525","622",0.700701,"70","0",1,"RS"
"10511","525","764",0.453623,"70","0",1,"RS"
"10521","525","892",0.810589,"70","0",1,"RS"
"10531","525","970",0.804048,"70","0",1,"RS"
"10541","525","1182",0.435285,"70","0",1,"RS"
"10551","525","1306",0.721655,"70","0",1,"RS"
"10561","525","1442",0.44499,"70","0",1,"RS"
"10571","525","1497",0.50221,"70","0",1,"RS"
"10581","525","1555",0.646865,"70","0",1,"RS"
"10591","525","1673",0.777617,"70","0",1,"RS"
"10601","525","2097",0.506292,"70","0",1,"RS"
"10611","622","764",0.501719,"70","0",1,"RS"
"10621","622","892",0.867455,"70","0",1,"RS"
"10631","622","970",0.858425,"70","0",1,"RS"
"10641","622","1182",0.432185,"70","0",1,"RS"
"10651","622","1306",0.746918,"70","0",1,"RS"
"10661","622","1442",0.474311,"70","0",1,"RS"
"10671","622","1497",0.565692,"70","0",1,"RS"
"10681","622","1555",0.70233,"70","0",1,"RS"
"10691","622","1673",0.851786,"70","0",1,"RS"
"10701","622","2097",0.575648,"70","0",1,"RS"
"10711","764","892",0.623449,"70","0",1,"RS"
"10721","764","970",0.636355,"70","0",1,"RS"
"10731","764","1182",0.242211,"70","0",1,"RS"
"10741","764","1306",0.555916,"70","0",1,"RS"
"10751","764","1442",0.2687,"70","0",1,"RS"
"10761","764","1497",0.340068,"70","0",1,"RS"
"10771","764","1555",0.455007,"70","0",1,"RS"
"10781","764","1673",0.634408,"70","0",1,"RS"
"10791","764","2097",0.35215,"70","0",1,"RS"
"10801","892","970",0.974812,"70","0",1,"RS"
"10811","892","1182",0.591605,"70","0",1,"RS"
"10821","892","1306",0.883318,"70","0",1,"RS"
"10831","892","1442",0.614444,"70","0",1,"RS"
"10841","892","1497",0.705491,"70","0",1,"RS"
"10851","892","1555",0.786513,"70","0",1,"RS"
"10861","892","1673",0.967018,"70","0",1,"RS"
"10871","892","2097",0.69726,"70","0",1,"RS"
"10881","970","1182",0.593263,"70","0",1,"RS"
"10891","970","1306",0.869667,"70","0",1,"RS"
"10901","970","1442",0.611173,"70","0",1,"RS"
"10911","970","1497",0.692078,"70","0",1,"RS"
"10921","970","1555",0.797611,"70","0",1,"RS"
"10931","970","1673",0.959988,"70","0",1,"RS"
"10941","970","2097",0.696685,"70","0",1,"RS"
"10951","1182","1306",0.497368,"70","0",1,"RS"
