PatchID0,PatchID1,MeanD,Tree_disease,Management,Replicate,method
90,248,0.804121,0,0,1,RS
90,525,0.787842,0,0,1,RS
90,622,0.734504,0,0,1,RS
90,764,0.758756,0,0,1,RS
90,892,0.84863,0,0,1,RS
90,970,0.83843,0,0,1,RS
90,1182,0.763056,0,0,1,RS
90,1306,0.809106,0,0,1,RS
90,1442,0.731287,0,0,1,RS
90,1497,0.800058,0,0,1,RS
90,1555,0.759036,0,0,1,RS
90,1673,0.932909,0,0,1,RS
90,2097,0.69386,0,0,1,RS
248,525,0.821227,0,0,1,RS
248,622,0.878811,0,0,1,RS
248,764,0.8059,0,0,1,RS
248,892,0.903778,0,0,1,RS
248,970,0.929277,0,0,1,RS
248,1182,0.797102,0,0,1,RS
248,1306,0.893126,0,0,1,RS
248,1442,0.7754,0,0,1,RS
248,1497,0.881856,0,0,1,RS
248,1555,0.880308,0,0,1,RS
248,1673,0.886803,0,0,1,RS
248,2097,0.81387,0,0,1,RS
525,622,0.824972,0,0,1,RS
525,764,0.687229,0,0,1,RS
525,892,0.837502,0,0,1,RS
525,970,0.815197,0,0,1,RS
525,1182,0.577266,0,0,1,RS
525,1306,0.724777,0,0,1,RS
525,1442,0.617402,0,0,1,RS
525,1497,0.769263,0,0,1,RS
525,1555,0.731592,0,0,1,RS
525,1673,0.820885,0,0,1,RS
525,2097,0.684627,0,0,1,RS
622,764,0.825377,0,0,1,RS
622,892,0.883959,0,0,1,RS
622,970,0.854061,0,0,1,RS
622,1182,0.765465,0,0,1,RS
622,1306,0.784363,0,0,1,RS
622,1442,0.791497,0,0,1,RS
622,1497,0.802536,0,0,1,RS
622,1555,0.852564,0,0,1,RS
622,1673,0.931829,0,0,1,RS
622,2097,0.735398,0,0,1,RS
764,892,0.738155,0,0,1,RS
764,970,0.82436,0,0,1,RS
764,1182,0.60809,0,0,1,RS
764,1306,0.706397,0,0,1,RS
764,1442,0.54531,0,0,1,RS
764,1497,0.757353,0,0,1,RS
764,1555,0.707572,0,0,1,RS
764,1673,0.764893,0,0,1,RS
764,2097,0.719659,0,0,1,RS
892,970,0.919047,0,0,1,RS
892,1182,0.87547,0,0,1,RS
892,1306,0.879551,0,0,1,RS
892,1442,0.890765,0,0,1,RS
892,1497,0.79972,0,0,1,RS
892,1555,0.773571,0,0,1,RS
892,1673,0.735313,0,0,1,RS
892,2097,0.849548,0,0,1,RS
970,1182,0.800726,0,0,1,RS
970,1306,0.83748,0,0,1,RS
970,1442,0.699225,0,0,1,RS
970,1497,0.830613,0,0,1,RS
970,1555,0.834893,0,0,1,RS
970,1673,0.828446,0,0,1,RS
970,2097,0.768461,0,0,1,RS
1182,1306,0.74217,0,0,1,RS
1182,1442,0.281985,0,0,1,RS
1182,1497,0.679716,0,0,1,RS
1182,1555,0.739779,0,0,1,RS
1182,1673,0.752518,0,0,1,RS
1182,2097,0.56075,0,0,1,RS
1306,1442,0.785951,0,0,1,RS
1306,1497,0.848389,0,0,1,RS
1306,1555,0.785784,0,0,1,RS
1306,1673,0.893569,0,0,1,RS
1306,2097,0.750501,0,0,1,RS
1442,1497,0.617797,0,0,1,RS
1442,1555,0.745388,0,0,1,RS
1442,1673,0.836699,0,0,1,RS
1442,2097,0.616194,0,0,1,RS
1497,1555,0.755532,0,0,1,RS
1497,1673,0.845513,0,0,1,RS
1497,2097,0.843007,0,0,1,RS
1555,1673,0.786216,0,0,1,RS
1555,2097,0.76853,0,0,1,RS
1673,2097,0.859581,0,0,1,RS
90,248,0.940458,70,0,1,RS
90,525,0.862864,70,0,1,RS
90,622,0.907796,70,0,1,RS
90,764,0.807541,70,0,1,RS
90,892,0.992908,70,0,1,RS
90,970,0.930316,70,0,1,RS
90,1182,0.809707,70,0,1,RS
90,1306,0.931092,70,0,1,RS
90,1442,0.939187,70,0,1,RS
90,1497,0.916126,70,0,1,RS
90,1555,0.911093,70,0,1,RS
90,1673,0.867131,70,0,1,RS
90,2097,0.908232,70,0,1,RS
248,525,0.959524,70,0,1,RS
248,622,0.960144,70,0,1,RS
248,764,0.939861,70,0,1,RS
248,892,0.994617,70,0,1,RS
