LandNum	Nhabitats	LandscapeFile	PatchFile	DynLandFile	SpDistFile
1	9	L1_R1_Habitat_Scenario0.asc	L1_R1_Patch_Scenario0.asc	L1R1S0.txt	NULL
2	9	L1_R1_Habitat_Scenario0.asc	L1_R1_Patch_Scenario0.asc	L1R1S1.txt	NULL
3	9	L1_R1_Habitat_Scenario0.asc	L1_R1_Patch_Scenario0.asc	L1R1S2.txt	NULL
4	9	L1_R1_Habitat_Scenario0.asc	L1_R1_Patch_Scenario0.asc	L1R1S3.txt	NULL
5	9	L1_R1_Habitat_Scenario0.asc	L1_R1_Patch_Scenario0.asc	L1R1S4.txt	NULL
6	9	L1_R1_Habitat_Scenario0.asc	L1_R1_Patch_Scenario0.asc	L1R1S5.txt	NULL
7	9	L1_R1_Habitat_Scenario0.asc	L1_R1_Patch_Scenario0.asc	L1R1S6.txt	NULL
8	9	L1_R1_Habitat_Scenario0.asc	L1_R1_Patch_Scenario0.asc	L1R1S7.txt	NULL
9	9	L1_R1_Habitat_Scenario0.asc	L1_R1_Patch_Scenario0.asc	L1R1S8.txt	NULL
10	9	L1_R1_Habitat_Scenario0.asc	L1_R1_Patch_Scenario0.asc	L1R1S9.txt	NULL
11	9	L1_R1_Habitat_Scenario0.asc	L1_R1_Patch_Scenario0.asc	L1R1S10.txt	NULL
12	9	L1_R1_Habitat_Scenario0.asc	L1_R1_Patch_Scenario0.asc	L1R1S11.txt	NULL
13	9	L1_R1_Habitat_Scenario0.asc	L1_R1_Patch_Scenario0.asc	L1R1S12.txt	NULL
14	9	L1_R1_Habitat_Scenario0.asc	L1_R1_Patch_Scenario0.asc	L1R1S13.txt	NULL
15	9	L1_R1_Habitat_Scenario0.asc	L1_R1_Patch_Scenario0.asc	L1R1S14.txt	NULL
16	9	L1_R1_Habitat_Scenario0.asc	L1_R1_Patch_Scenario0.asc	L1R1S15.txt	NULL
17	9	L1_R1_Habitat_Scenario0.asc	L1_R1_Patch_Scenario0.asc	L1R1S16.txt	NULL
18	9	L1_R1_Habitat_Scenario0.asc	L1_R1_Patch_Scenario0.asc	L1R1S17.txt	NULL
19	9	L1_R1_Habitat_Scenario0.asc	L1_R1_Patch_Scenario0.asc	L1R1S18.txt	NULL
20	9	L1_R1_Habitat_Scenario0.asc	L1_R1_Patch_Scenario0.asc	L1R1S19.txt	NULL
21	9	L1_R1_Habitat_Scenario0.asc	L1_R1_Patch_Scenario0.asc	L1R1S20.txt	NULL
22	9	L1_R1_Habitat_Scenario0.asc	L1_R1_Patch_Scenario0.asc	L1R1S21.txt	NULL
23	9	L1_R1_Habitat_Scenario0.asc	L1_R1_Patch_Scenario0.asc	L1R1S22.txt	NULL
24	9	L1_R1_Habitat_Scenario0.asc	L1_R1_Patch_Scenario0.asc	L1R1S23.txt	NULL
25	9	L1_R1_Habitat_Scenario0.asc	L1_R1_Patch_Scenario0.asc	L1R1S24.txt	NULL
