Simulation	DensDep	UseFullKern	StageDep	SexDep	IndVar	EmigStage	Stage	Sex	GroupDisp	GroupMean	EP	D0	alpha	beta	EPMean	EPSD	D0Mean	D0SD	alphaMean	alphaSD	betaMean	betaSD	EPScale	D0Scale	alphaScale	betaScale
1	0	0	0	0	0	-9	0	0	0	0	0.5	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
2	0	0	0	0	0	-9	0	0	0	0	0.5	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
3	0	0	0	0	0	-9	0	0	0	0	0.5	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
4	0	0	0	0	0	-9	0	0	0	0	0.5	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
5	0	0	0	0	0	-9	0	0	0	0	0.5	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
6	0	0	0	0	0	-9	0	0	0	0	0.5	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
7	0	0	0	0	0	-9	0	0	0	0	0.5	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
8	0	0	0	0	0	-9	0	0	0	0	0.5	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
9	0	0	0	0	0	-9	0	0	0	0	0.5	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
10	0	0	0	0	0	-9	0	0	0	0	0.5	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
11	0	0	0	0	0	-9	0	0	0	0	0.5	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
12	0	0	0	0	0	-9	0	0	0	0	0.5	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
13	0	0	0	0	0	-9	0	0	0	0	0.5	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
14	0	0	0	0	0	-9	0	0	0	0	0.5	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
15	0	0	0	0	0	-9	0	0	0	0	0.5	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
16	0	0	0	0	0	-9	0	0	0	0	0.5	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
17	0	0	0	0	0	-9	0	0	0	0	0.5	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
18	0	0	0	0	0	-9	0	0	0	0	0.5	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
19	0	0	0	0	0	-9	0	0	0	0	0.5	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
20	0	0	0	0	0	-9	0	0	0	0	0.5	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
21	0	0	0	0	0	-9	0	0	0	0	0.5	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
22	0	0	0	0	0	-9	0	0	0	0	0.5	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
23	0	0	0	0	0	-9	0	0	0	0	0.5	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
24	0	0	0	0	0	-9	0	0	0	0	0.5	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
25	0	0	0	0	0	-9	0	0	0	0	0.5	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
26	0	0	0	0	0	-9	0	0	0	0	0.5	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
27	0	0	0	0	0	-9	0	0	0	0	0.5	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
