Simulation	SeedType	FreeType 	SpType	InitDens	IndsHa	minX	maxX	minY	maxY	NCells	NSpCells	InitFreezeYear	RestrictRows	RestrictFreq	FinalFreezeYear	InitIndsFile
1	0	1	-9	1	-9	0	999	0	999	0	-9	0	0	0	0	NULL
2	0	1	-9	1	-9	0	999	0	999	0	-9	0	0	0	0	NULL
3	0	1	-9	1	-9	0	999	0	999	0	-9	0	0	0	0	NULL
4	0	1	-9	1	-9	0	999	0	999	0	-9	0	0	0	0	NULL
5	0	1	-9	1	-9	0	999	0	999	0	-9	0	0	0	0	NULL
6	0	1	-9	1	-9	0	999	0	999	0	-9	0	0	0	0	NULL
7	0	1	-9	1	-9	0	999	0	999	0	-9	0	0	0	0	NULL
8	0	1	-9	1	-9	0	999	0	999	0	-9	0	0	0	0	NULL
9	0	1	-9	1	-9	0	999	0	999	0	-9	0	0	0	0	NULL
10	0	1	-9	1	-9	0	999	0	999	0	-9	0	0	0	0	NULL
11	0	1	-9	1	-9	0	999	0	999	0	-9	0	0	0	0	NULL
12	0	1	-9	1	-9	0	999	0	999	0	-9	0	0	0	0	NULL
13	0	1	-9	1	-9	0	999	0	999	0	-9	0	0	0	0	NULL
14	0	1	-9	1	-9	0	999	0	999	0	-9	0	0	0	0	NULL
15	0	1	-9	1	-9	0	999	0	999	0	-9	0	0	0	0	NULL
16	0	1	-9	1	-9	0	999	0	999	0	-9	0	0	0	0	NULL
17	0	1	-9	1	-9	0	999	0	999	0	-9	0	0	0	0	NULL
18	0	1	-9	1	-9	0	999	0	999	0	-9	0	0	0	0	NULL
19	0	1	-9	1	-9	0	999	0	999	0	-9	0	0	0	0	NULL
20	0	1	-9	1	-9	0	999	0	999	0	-9	0	0	0	0	NULL
21	0	1	-9	1	-9	0	999	0	999	0	-9	0	0	0	0	NULL
22	0	1	-9	1	-9	0	999	0	999	0	-9	0	0	0	0	NULL
23	0	1	-9	1	-9	0	999	0	999	0	-9	0	0	0	0	NULL
24	0	1	-9	1	-9	0	999	0	999	0	-9	0	0	0	0	NULL
25	0	1	-9	1	-9	0	999	0	999	0	-9	0	0	0	0	NULL
26	0	1	-9	1	-9	0	999	0	999	0	-9	0	0	0	0	NULL
27	0	1	-9	1	-9	0	999	0	999	0	-9	0	0	0	0	NULL
