Simulation	Replicates	Years	Absorbing	Gradient	GradSteep	Optimum	f	LocalExtOpt	Shifting	ShiftRate	ShiftStart	ShiftEnd	EnvStoch	EnvStochType	ac	std	minR	maxR	minK	maxK	LocalExt	LocalExtProb	PropMales	Harem	bc	Rmax	K1	K2	K3	K4	K5	K6	K7	K8	K9	Selfing	Paternity	PropLocal	PropNghbr	OutStartPop	OutStartInd	OutStartGenetic	OutStartTraitCell	OutStartTraitRow	OutStartConn	OutIntRange	OutIntOcc	OutIntPop	OutIntInd	OutIntGenetic	OutGenType	OutGenCrossTab	OutIntTraitCell	OutIntTraitRow	OutIntConn	SaveMaps	MapsInterval	SMSHeatMap	DrawLoadedSp
1	2	61	0	0	-9	-9	-9	-9	-9	-9	-9	-9	0	0	0	0.01	9.99	10.01	-9	-9	0	-9	0.5	-9	1	10	0	0	0	0	0	500	500	500	0	0	0	0	0	58	58	0	0	0	58	2	2	2	2	0	0	0	0	0	2	0	0	0	0
2	2	61	0	0	-9	-9	-9	-9	-9	-9	-9	-9	0	0	0	0.01	9.99	10.01	-9	-9	0	-9	0.5	-9	1	10	0	0	0	0	0	750	750	750	0	0	0	0	0	58	58	0	0	0	58	2	2	2	2	0	0	0	0	0	2	0	0	0	0
3	2	61	0	0	-9	-9	-9	-9	-9	-9	-9	-9	0	0	0	0.01	9.99	10.01	-9	-9	0	-9	0.5	-9	1	10	0	0	0	0	0	1000	1000	1000	0	0	0	0	0	58	58	0	0	0	58	2	2	2	2	0	0	0	0	0	2	0	0	0	0
4	2	61	0	0	-9	-9	-9	-9	-9	-9	-9	-9	0	0	0	0.01	9.99	10.01	-9	-9	0	-9	0.5	-9	1	10	0	0	0	0	0	500	500	500	0	0	0	0	0	58	58	0	0	0	58	2	2	2	2	0	0	0	0	0	2	0	0	0	0
5	2	61	0	0	-9	-9	-9	-9	-9	-9	-9	-9	0	0	0	0.01	9.99	10.01	-9	-9	0	-9	0.5	-9	1	10	0	0	0	0	0	750	750	750	0	0	0	0	0	58	58	0	0	0	58	2	2	2	2	0	0	0	0	0	2	0	0	0	0
6	2	61	0	0	-9	-9	-9	-9	-9	-9	-9	-9	0	0	0	0.01	9.99	10.01	-9	-9	0	-9	0.5	-9	1	10	0	0	0	0	0	1000	1000	1000	0	0	0	0	0	58	58	0	0	0	58	2	2	2	2	0	0	0	0	0	2	0	0	0	0
7	2	61	0	0	-9	-9	-9	-9	-9	-9	-9	-9	0	0	0	0.01	9.99	10.01	-9	-9	0	-9	0.5	-9	1	10	0	0	0	0	0	500	500	500	0	0	0	0	0	58	58	0	0	0	58	2	2	2	2	0	0	0	0	0	2	0	0	0	0
8	2	61	0	0	-9	-9	-9	-9	-9	-9	-9	-9	0	0	0	0.01	9.99	10.01	-9	-9	0	-9	0.5	-9	1	10	0	0	0	0	0	750	750	750	0	0	0	0	0	58	58	0	0	0	58	2	2	2	2	0	0	0	0	0	2	0	0	0	0
9	2	61	0	0	-9	-9	-9	-9	-9	-9	-9	-9	0	0	0	0.01	9.99	10.01	-9	-9	0	-9	0.5	-9	1	10	0	0	0	0	0	1000	1000	1000	0	0	0	0	0	58	58	0	0	0	58	2	2	2	2	0	0	0	0	0	2	0	0	0	0
10	2	61	0	0	-9	-9	-9	-9	-9	-9	-9	-9	0	0	0	0.01	9.99	10.01	-9	-9	0	-9	0.5	-9	1	10	0	0	0	0	0	500	500	500	0	0	0	0	0	58	58	0	0	0	58	2	2	2	2	0	0	0	0	0	2	0	0	0	0
