Simulation	StageDep	SexDep	Stage	Sex	DensDep	IndVar	FindMate	MinSteps	MaxSteps	MaxStepsYear	S0	AlphaS	BetaS	S0Mean	S0SD	AlphaSMean	AlphaSSD	BetaSMean	BetaSSD	S0Scale	AlphaSScale	BetaSScale
1	0	1	0	0	0	0	0	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
1	0	1	0	1	0	0	1	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
2	0	1	0	0	0	0	0	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
2	0	1	0	1	0	0	1	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
3	0	1	0	0	0	0	0	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
3	0	1	0	1	0	0	1	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
4	0	1	0	0	0	0	0	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
4	0	1	0	1	0	0	1	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
5	0	1	0	0	0	0	0	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
5	0	1	0	1	0	0	1	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
6	0	1	0	0	0	0	0	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
6	0	1	0	1	0	0	1	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
7	0	1	0	0	0	0	0	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
7	0	1	0	1	0	0	1	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
8	0	1	0	0	0	0	0	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
8	0	1	0	1	0	0	1	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
9	0	1	0	0	0	0	0	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
9	0	1	0	1	0	0	1	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
10	0	1	0	0	0	0	0	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
10	0	1	0	1	0	0	1	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
11	0	1	0	0	0	0	0	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
11	0	1	0	1	0	0	1	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
12	0	1	0	0	0	0	0	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
12	0	1	0	1	0	0	1	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
13	0	1	0	0	0	0	0	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
13	0	1	0	1	0	0	1	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
14	0	1	0	0	0	0	0	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
14	0	1	0	1	0	0	1	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
15	0	1	0	0	0	0	0	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
15	0	1	0	1	0	0	1	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
16	0	1	0	0	0	0	0	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
16	0	1	0	1	0	0	1	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
17	0	1	0	0	0	0	0	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
17	0	1	0	1	0	0	1	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
18	0	1	0	0	0	0	0	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
18	0	1	0	1	0	0	1	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
19	0	1	0	0	0	0	0	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
19	0	1	0	1	0	0	1	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
20	0	1	0	0	0	0	0	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
20	0	1	0	1	0	0	1	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
21	0	1	0	0	0	0	0	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
21	0	1	0	1	0	0	1	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
22	0	1	0	0	0	0	0	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
22	0	1	0	1	0	0	1	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
23	0	1	0	0	0	0	0	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
23	0	1	0	1	0	0	1	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
24	0	1	0	0	0	0	0	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
24	0	1	0	1	0	0	1	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
25	0	1	0	0	0	0	0	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
25	0	1	0	1	0	0	1	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
26	0	1	0	0	0	0	0	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
26	0	1	0	1	0	0	1	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
27	0	1	0	0	0	0	0	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
27	0	1	0	1	0	0	1	0	2000	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9
