Rep	Year	RepSeason	PatchID	Ncells	Species	NInd	Nfemales	Nmales
0	58	0	0	0	0	0	0	0
0	58	0	1	10187	0	721	359	362
0	58	0	2	27	0	50	25	25
0	58	0	4	30	0	10	6	4
0	58	0	5	24	0	0	0	0
0	58	0	8	19	0	7	3	4
0	58	0	9	10	0	2	0	2
0	58	0	11	6	0	0	0	0
0	58	0	12	15	0	0	0	0
0	58	0	19	281	0	19	8	11
0	58	0	24	24	0	0	0	0
0	58	0	38	17	0	0	0	0
0	58	0	42	56	0	0	0	0
0	58	0	44	8	0	6	4	2
0	58	0	46	7	0	0	0	0
0	58	0	51	19	0	0	0	0
0	58	0	53	28	0	0	0	0
0	58	0	54	241	0	15	9	6
0	58	0	55	11	0	0	0	0
0	58	0	59	5	0	0	0	0
0	58	0	61	7	0	0	0	0
0	58	0	65	22	0	0	0	0
0	58	0	66	14	0	0	0	0
0	58	0	67	6	0	0	0	0
0	58	0	69	21	0	0	0	0
0	58	0	70	60	0	1	0	1
0	58	0	71	46	0	1	1	0
0	58	0	76	24	0	1	1	0
0	58	0	78	143	0	4	4	0
0	58	0	81	40	0	0	0	0
0	58	0	87	9	0	0	0	0
0	58	0	90	1391	0	101	49	52
0	58	0	92	30	0	1	1	0
0	58	0	95	11	0	0	0	0
0	58	0	98	5	0	3	1	2
0	58	0	101	16	0	4	3	1
0	58	0	105	8	0	3	1	2
0	58	0	110	11	0	26	16	10
0	58	0	117	9	0	0	0	0
0	58	0	118	37	0	3	2	1
0	58	0	121	19	0	1	1	0
0	58	0	124	9540	0	649	320	329
0	58	0	127	18	0	10	7	3
0	58	0	141	25	0	21	8	13
0	58	0	142	6	0	0	0	0
0	58	0	144	84	0	23	9	14
0	58	0	147	44	0	12	6	6
0	58	0	148	21	0	1	1	0
0	58	0	149	55	0	0	0	0
0	58	0	152	2248	0	146	70	76
0	58	0	153	7	0	4	1	3
0	58	0	156	4382	0	294	166	128
0	58	0	157	20	0	3	1	2
0	58	0	161	16	0	0	0	0
0	58	0	170	7	0	2	1	1
0	58	0	171	16	0	31	16	15
0	58	0	172	6	0	0	0	0
0	58	0	173	12	0	0	0	0
0	58	0	174	15	0	4	0	4
0	58	0	179	6	0	0	0	0
0	58	0	183	11	0	2	1	1
0	58	0	184	31	0	3	2	1
0	58	0	187	6	0	0	0	0
0	58	0	194	9	0	0	0	0
0	58	0	195	20	0	12	2	10
0	58	0	198	151	0	21	14	7
0	58	0	199	8	0	0	0	0
0	58	0	204	25	0	4	2	2
0	58	0	206	5	0	4	1	3
0	58	0	209	5	0	1	1	0
0	58	0	212	21	0	7	3	4
0	58	0	216	5	0	0	0	0
0	58	0	225	5	0	1	1	0
0	58	0	227	1287	0	87	47	40
0	58	0	232	7	0	1	0	1
0	58	0	233	71	0	16	8	8
0	58	0	236	9	0	0	0	0
0	58	0	238	13	0	1	1	0
0	58	0	239	22	0	0	0	0
0	58	0	241	7	0	11	6	5
0	58	0	243	25	0	11	5	6
0	58	0	247	10	0	11	5	6
0	58	0	248	693	0	63	33	30
0	58	0	256	22	0	8	4	4
0	58	0	258	44	0	0	0	0
0	58	0	263	8	0	1	1	0
0	58	0	268	7	0	2	1	1
0	58	0	275	6	0	0	0	0
0	58	0	276	7	0	5	3	2
0	58	0	279	134	0	18	9	9
0	58	0	283	16	0	1	1	0
0	58	0	285	57	0	5	2	3
0	58	0	289	26	0	2	1	1
0	58	0	290	54	0	8	5	3
0	58	0	293	5	0	2	1	1
0	58	0	299	73	0	22	12	10
0	58	0	307	18	0	8	2	6
0	58	0	308	122	0	0	0	0
0	58	0	310	7	0	5	3	2
0	58	0	313	6	0	4	1	3
0	58	0	314	20	0	4	2	2
0	58	0	315	62	0	9	4	5
0	58	0	316	26	0	1	0	1
0	58	0	317	17	0	0	0	0
0	58	0	320	19	0	0	0	0
0	58	0	330	9	0	3	1	2
0	58	0	332	30	0	0	0	0
0	58	0	335	166	0	21	9	12
0	58	0	336	479	0	61	29	32
0	58	0	337	295	0	32	15	17
0	58	0	338	7	0	9	5	4
0	58	0	339	9	0	3	1	2
0	58	0	342	193	0	14	10	4
0	58	0	345	8	0	0	0	0
0	58	0	350	21	0	13	3	10
0	58	0	352	5	0	2	1	1
0	58	0	360	433	0	55	31	24
0	58	0	367	27	0	0	0	0
0	58	0	369	13	0	2	1	1
0	58	0	375	10	0	5	3	2
0	58	0	382	15	0	2	1	1
0	58	0	383	18	0	1	0	1
0	58	0	388	191	0	22	10	12
0	58	0	391	144	0	33	12	21
0	58	0	392	5	0	0	0	0
0	58	0	393	15	0	5	3	2
0	58	0	399	10	0	4	3	1
0	58	0	401	26	0	4	2	2
0	58	0	406	74	0	10	7	3
0	58	0	408	205	0	26	11	15
0	58	0	412	20	0	19	6	13
0	58	0	415	167	0	23	9	14
0	58	0	416	642	0	45	24	21
0	58	0	417	15	0	0	0	0
0	58	0	418	5	0	0	0	0
0	58	0	419	64	0	9	6	3
0	58	0	422	13	0	2	1	1
0	58	0	423	112	0	13	8	5
0	58	0	425	10	0	48	26	22
0	58	0	428	32	0	1	0	1
0	58	0	429	400	0	42	21	21
0	58	0	435	18	0	0	0	0
0	58	0	436	51	0	9	6	3
0	58	0	437	787	0	71	37	34
0	58	0	439	3630	0	295	140	155
0	58	0	441	18	0	2	1	1
0	58	0	443	46	0	8	3	5
0	58	0	445	6	0	1	1	0
0	58	0	449	36	0	3	2	1
0	58	0	450	108	0	23	12	11
0	58	0	452	195	0	9	6	3
0	58	0	457	13	0	4	3	1
0	58	0	460	85	0	7	2	5
0	58	0	468	51	0	8	4	4
0	58	0	470	9	0	0	0	0
0	58	0	474	63	0	19	6	13
0	58	0	481	122	0	0	0	0
0	58	0	487	15	0	1	1	0
0	58	0	488	19	0	11	4	7
0	58	0	490	8	0	6	3	3
0	58	0	492	15	0	1	1	0
0	58	0	494	5	0	6	4	2
0	58	0	495	92	0	9	6	3
0	58	0	497	8	0	4	3	1
0	58	0	503	10	0	0	0	0
0	58	0	504	13	0	7	5	2
0	58	0	505	485	0	39	20	19
0	58	0	511	11	0	1	1	0
0	58	0	513	38	0	0	0	0
0	58	0	514	205	0	7	4	3
0	58	0	515	15	0	3	2	1
0	58	0	516	10	0	4	2	2
0	58	0	518	85	0	19	10	9
0	58	0	520	12	0	2	1	1
0	58	0	521	28	0	0	0	0
0	58	0	523	9	0	0	0	0
0	58	0	524	35	0	0	0	0
0	58	0	525	2009	0	175	88	87
0	58	0	528	80	0	9	2	7
0	58	0	534	17	0	6	4	2
0	58	0	544	16	0	0	0	0
0	58	0	545	112	0	0	0	0
0	58	0	551	9	0	1	1	0
0	58	0	553	6	0	0	0	0
0	58	0	554	24	0	1	0	1
0	58	0	558	17	0	1	1	0
0	58	0	560	15	0	4	1	3
0	58	0	561	32	0	1	0	1
0	58	0	563	14	0	8	5	3
0	58	0	566	10	0	0	0	0
0	58	0	568	36	0	6	3	3
0	58	0	573	10	0	2	2	0
0	58	0	574	6	0	0	0	0
0	58	0	578	20	0	0	0	0
0	58	0	582	371	0	27	14	13
0	58	0	584	8	0	5	4	1
0	58	0	589	9	0	8	4	4
0	58	0	590	32	0	12	5	7
0	58	0	598	800	0	39	15	24
0	58	0	604	6	0	4	2	2
0	58	0	610	28	0	8	4	4
0	58	0	612	41	0	9	4	5
0	58	0	613	22	0	0	0	0
0	58	0	619	28	0	9	2	7
0	58	0	621	20	0	0	0	0
0	58	0	622	1001	0	66	34	32
0	58	0	623	7	0	1	1	0
0	58	0	632	10	0	0	0	0
0	58	0	640	9	0	5	4	1
0	58	0	642	47	0	0	0	0
0	58	0	648	381	0	56	30	26
0	58	0	655	5	0	1	1	0
0	58	0	656	52	0	7	2	5
0	58	0	657	71	0	16	7	9
0	58	0	660	13	0	9	3	6
0	58	0	661	26	0	14	6	8
0	58	0	663	41	0	1	1	0
0	58	0	665	26	0	4	3	1
0	58	0	669	10	0	0	0	0
0	58	0	671	51	0	1	1	0
0	58	0	679	5	0	0	0	0
0	58	0	680	55	0	0	0	0
0	58	0	686	20	0	0	0	0
0	58	0	704	16	0	4	2	2
0	58	0	705	6	0	0	0	0
0	58	0	706	18	0	1	1	0
0	58	0	707	166	0	9	3	6
0	58	0	709	9	0	0	0	0
0	58	0	713	16	0	6	3	3
0	58	0	716	11	0	4	2	2
0	58	0	721	5	0	1	1	0
0	58	0	722	46	0	1	1	0
0	58	0	726	40	0	3	2	1
0	58	0	728	194	0	21	11	10
0	58	0	732	23	0	10	2	8
0	58	0	735	54	0	7	5	2
0	58	0	737	22	0	12	8	4
0	58	0	739	23	0	0	0	0
0	58	0	745	15	0	0	0	0
0	58	0	751	9	0	8	5	3
0	58	0	753	13	0	11	4	7
0	58	0	754	7	0	2	2	0
0	58	0	755	13	0	0	0	0
0	58	0	758	273	0	31	14	17
0	58	0	759	44	0	2	1	1
0	58	0	762	85	0	2	2	0
0	58	0	764	4007	0	323	183	140
0	58	0	765	26	0	0	0	0
0	58	0	768	13	0	21	10	11
0	58	0	772	47	0	3	1	2
0	58	0	773	24	0	17	11	6
0	58	0	777	24	0	6	1	5
0	58	0	787	127	0	14	9	5
0	58	0	790	58	0	6	3	3
0	58	0	795	8	0	0	0	0
0	58	0	797	12	0	0	0	0
0	58	0	798	10	0	1	1	0
0	58	0	799	29	0	11	4	7
0	58	0	800	25	0	8	3	5
0	58	0	803	143	0	32	15	17
0	58	0	808	78	0	17	10	7
0	58	0	809	6	0	6	5	1
0	58	0	816	42	0	9	4	5
0	58	0	817	113	0	10	3	7
0	58	0	821	5	0	0	0	0
0	58	0	824	112	0	18	10	8
0	58	0	825	24	0	7	3	4
0	58	0	830	10	0	2	0	2
0	58	0	833	203	0	34	18	16
0	58	0	836	7	0	0	0	0
0	58	0	844	214	0	33	21	12
0	58	0	846	112	0	7	3	4
0	58	0	847	26	0	2	2	0
0	58	0	850	61	0	1	0	1
0	58	0	858	37	0	13	7	6
0	58	0	860	8	0	0	0	0
0	58	0	863	49	0	22	15	7
0	58	0	864	34	0	0	0	0
0	58	0	870	79	0	14	6	8
0	58	0	872	189	0	11	4	7
0	58	0	876	69	0	27	15	12
0	58	0	880	9	0	2	2	0
0	58	0	885	27	0	0	0	0
0	58	0	887	5	0	0	0	0
0	58	0	890	19	0	9	6	3
0	58	0	892	737	0	59	32	27
0	58	0	893	68	0	16	10	6
0	58	0	896	132	0	30	12	18
0	58	0	898	65	0	2	1	1
0	58	0	899	12	0	1	1	0
0	58	0	900	31	0	13	4	9
0	58	0	903	5	0	0	0	0
0	58	0	907	66	0	2	2	0
0	58	0	914	7	0	0	0	0
0	58	0	918	28	0	0	0	0
0	58	0	920	15	0	1	1	0
0	58	0	921	20	0	1	1	0
0	58	0	925	83	0	7	2	5
0	58	0	927	11	0	0	0	0
0	58	0	930	7	0	0	0	0
0	58	0	931	973	0	92	52	40
0	58	0	937	18	0	4	3	1
0	58	0	939	12	0	0	0	0
0	58	0	941	39	0	0	0	0
0	58	0	949	8	0	1	1	0
0	58	0	950	74	0	14	6	8
0	58	0	951	85	0	14	6	8
0	58	0	952	20	0	9	5	4
0	58	0	953	44	0	14	9	5
0	58	0	954	28	0	0	0	0
0	58	0	955	43	0	7	3	4
0	58	0	962	12	0	1	1	0
0	58	0	963	5	0	7	5	2
0	58	0	966	45	0	3	1	2
0	58	0	970	650	0	73	35	38
0	58	0	974	261	0	33	17	16
0	58	0	976	130	0	11	6	5
0	58	0	977	23	0	0	0	0
0	58	0	980	6	0	0	0	0
0	58	0	987	41	0	4	2	2
0	58	0	989	14	0	0	0	0
0	58	0	998	32	0	0	0	0
0	58	0	1001	36	0	0	0	0
0	58	0	1003	11	0	1	1	0
0	58	0	1005	42	0	0	0	0
0	58	0	1010	15	0	2	2	0
0	58	0	1011	8	0	0	0	0
0	58	0	1014	64	0	2	2	0
0	58	0	1015	74	0	8	3	5
0	58	0	1016	9	0	3	3	0
0	58	0	1021	8	0	1	1	0
0	58	0	1034	6	0	0	0	0
0	58	0	1041	19	0	4	2	2
0	58	0	1050	24	0	0	0	0
0	58	0	1053	135	0	25	8	17
0	58	0	1056	15	0	0	0	0
0	58	0	1060	10	0	0	0	0
0	58	0	1062	29	0	10	4	6
0	58	0	1063	11	0	5	3	2
0	58	0	1065	8	0	3	1	2
0	58	0	1073	52	0	0	0	0
0	58	0	1074	18	0	0	0	0
0	58	0	1082	16	0	0	0	0
0	58	0	1101	19	0	1	1	0
0	58	0	1104	1433	0	130	64	66
