Rep	Year	PatchID0	PatchID1	Distance	MeanNAlleles	FIS	FIT	FST	MeanD	HarmMeanD
0	58	-1	-1	-1	24.8667	0.00431935	0.133826	0.130068	0.669962	0.668133
0	58	124	227	4110.01	15.1333	0.0254395	0.130511	0.107814	0.665558	0.627404
0	58	124	248	790.016	17.6667	0.00471744	0.0648302	0.0603977	0.512109	0.443802
0	58	124	336	3870.7	15.6667	0.00643368	0.109319	0.103551	0.658911	0.612851
0	58	124	439	911.4	17.9333	-0.0109922	0.0384953	0.0489495	0.448871	0.344791
0	58	124	764	1281.82	17.9333	0.00112376	0.0551458	0.0540828	0.492501	0.424817
0	58	124	892	2285.74	15.5333	0.0131626	0.0894917	0.0773473	0.521038	0.477149
0	58	124	931	2468.95	16	0.00646015	0.0914313	0.0855237	0.567992	0.494178
0	58	124	1348	1658.08	14.7333	0.012208	0.13625	0.125575	0.716333	0.678978
0	58	124	1555	4268.82	14.3333	-0.0257231	0.138136	0.15975	0.720333	0.680497
0	58	124	1584	2324.44	16.7333	0.0189166	0.0787492	0.0609862	0.49417	0.460192
0	58	124	1673	2627.39	16.8	0.015495	0.083337	0.0689098	0.534904	0.437005
0	58	124	2265	4992.66	13.6	0.0174561	0.242682	0.229227	0.818221	0.798536
0	58	124	2514	3400.74	15.4667	-0.0133333	0.0905886	0.102555	0.621282	0.566637
0	58	124	2937	4153.08	15.5333	0.0122148	0.0869604	0.0756699	0.540719	0.48764
0	58	227	248	3320	15.1333	0.0223493	0.120235	0.100123	0.566304	0.494416
0	58	227	336	329.28	9.4	0.025056	0.0394932	0.0148083	0.0713998	0.0627028
0	58	227	439	3407.26	15.7333	0.0055527	0.0835846	0.0784677	0.487996	0.437589
0	58	227	764	3271.43	15.6667	0.0184429	0.100841	0.083946	0.506676	0.397124
0	58	227	892	2272.03	12.1333	0.0319384	0.166483	0.138984	0.705786	0.674541
0	58	227	931	2238.06	12.8667	0.0248531	0.163187	0.14186	0.708255	0.652089
0	58	227	1348	4012.2	10.4667	0.0316307	0.181916	0.155194	0.67187	0.62825
0	58	227	1555	2130.08	10.2	-0.00776197	0.197937	0.204115	0.748019	0.597343
0	58	227	1584	4980.7	14.2	0.0375703	0.149649	0.116454	0.650567	0.561038
0	58	227	1673	3581.31	13.6	0.0340172	0.146449	0.116392	0.655051	0.603747
0	58	227	2265	3074.43	9.33333	0.04	0.288506	0.25886	0.772664	0.703796
0	58	227	2514	5622.04	12.8	0.00416667	0.160667	0.157155	0.748125	0.658873
0	58	227	2937	5961.42	12.6	0.0307988	0.166266	0.139772	0.745792	0.709539
0	58	248	336	3082.51	15.4667	0.00325935	0.0936313	0.0906675	0.5282	0.429522
0	58	248	439	531.907	17.2	-0.0140762	0.0155067	0.0291723	0.237602	0.136241
0	58	248	764	875.685	17.1333	-0.00191486	0.0374188	0.0392585	0.310851	0.0211493
0	58	248	892	1611.16	15.6	0.0100628	0.104831	0.0957318	0.609764	0.51601
0	58	248	931	1808.6	15.8	0.00332328	0.101183	0.0981857	0.617925	0.571372
0	58	248	1348	1643.79	14.7333	0.00899281	0.135315	0.127469	0.690624	0.646785
0	58	248	1555	3603.1	14	-0.0293073	0.135671	0.160281	0.69921	0.662992
0	58	248	1584	2554.25	16.6	0.0159174	0.0784392	0.0635331	0.494234	0.429661
0	58	248	1673	2330.82	16.6	0.0124681	0.0818628	0.0702709	0.520054	0.389948
0	58	248	2265	4398.66	13.4667	0.0138448	0.211509	0.200439	0.700749	0.647599
0	58	248	2514	3579.87	15.9333	-0.0166234	0.0891807	0.104074	0.627677	0.546364
0	58	248	2937	4262.22	15.8667	0.00913149	0.0991544	0.0908525	0.613271	0.556303
0	58	336	439	3135.86	16.2	-0.0132555	0.0598213	0.0721209	0.46546	0.38104
0	58	336	764	2980.62	16	-0.000514245	0.0812023	0.0816746	0.51328	0.429946
0	58	336	892	1957.78	13.0667	0.0121141	0.143488	0.132985	0.677952	0.559512
0	58	336	931	1915.86	13.6667	0.00504346	0.137161	0.132788	0.661074	0.512475
0	58	336	1348	3700.95	11.6667	0.011066	0.162379	0.153006	0.669001	0.595298
0	58	336	1555	1880.22	11.6	-0.0291898	0.181509	0.204723	0.756964	0.614973
