Event,Number,Reps,Years,Time
RANDOM SEED,1596130861,,,
Landscape,1,,,2
Simulation,1,2,61,271
Simulation,2,2,61,448
Simulation,3,2,61,626
Simulation,4,2,61,240
Simulation,5,2,61,379
Simulation,6,2,61,542
Simulation,7,2,61,221
Simulation,8,2,61,344
Simulation,9,2,61,489
Simulation,10,2,61,236
Simulation,11,2,61,370
Simulation,12,2,61,513
Simulation,13,2,61,192
Simulation,14,2,61,311
Simulation,15,2,61,445
Simulation,16,2,61,180
Simulation,17,2,61,283
Simulation,18,2,61,405
Simulation,19,2,61,185
Simulation,20,2,61,304
Simulation,21,2,61,450
Simulation,22,2,61,164
Simulation,23,2,61,265
Simulation,24,2,61,386
Simulation,25,2,61,155
Simulation,26,2,61,250
Simulation,27,2,61,362
Landscape,2,,,2
Simulation,1,2,61,253
Simulation,2,2,61,398
Simulation,3,2,61,585
Simulation,4,2,61,219
Simulation,5,2,61,346
Simulation,6,2,61,483
Simulation,7,2,61,199
Simulation,8,2,61,316
Simulation,9,2,61,443
Simulation,10,2,61,199
Simulation,11,2,61,316
Simulation,12,2,61,464
Simulation,13,2,61,177
Simulation,14,2,61,281
Simulation,15,2,61,399
Simulation,16,2,61,163
Simulation,17,2,61,234
Simulation,18,2,61,326
Simulation,19,2,61,147
Simulation,20,2,61,238
Simulation,21,2,61,348
Simulation,22,2,61,135
Simulation,23,2,61,229
Simulation,24,2,61,327
Simulation,25,2,61,125
Simulation,26,2,61,199
Simulation,27,2,61,285
Landscape,3,,,2
Simulation,1,2,61,220
Simulation,2,2,61,359
Simulation,3,2,61,491
Simulation,4,2,61,192
Simulation,5,2,61,307
Simulation,6,2,61,431
Simulation,7,2,61,172
Simulation,8,2,61,277
Simulation,9,2,61,392
Simulation,10,2,61,175
Simulation,11,2,61,280
Simulation,12,2,61,403
Simulation,13,2,61,156
Simulation,14,2,61,248
Simulation,15,2,61,341
Simulation,16,2,61,144
Simulation,17,2,61,224
Simulation,18,2,61,326
Simulation,19,2,61,145
Simulation,20,2,61,237
Simulation,21,2,61,338
Simulation,22,2,61,132
Simulation,23,2,61,207
Simulation,24,2,61,298
Simulation,25,2,61,123
Simulation,26,2,61,197
Simulation,27,2,61,273
Landscape,4,,,2
Simulation,1,2,61,215
Simulation,2,2,61,351
Simulation,3,2,61,497
Simulation,4,2,61,190
Simulation,5,2,61,303
Simulation,6,2,61,424
Simulation,7,2,61,176
Simulation,8,2,61,278
Simulation,9,2,61,382
Simulation,10,2,61,170
Simulation,11,2,61,275
Simulation,12,2,61,420
