Rep	Year	StartPatch	EndPatch	Ninds
0	58	1	2	50
0	58	1	4	3
0	58	1	8	8
0	58	1	9	1
0	58	1	156	1
0	58	1	164	1
0	58	1	248	6
0	58	1	338	6
0	58	1	425	39
0	58	1	436	2
0	58	1	437	8
0	58	1	457	4
0	58	1	460	5
0	58	2	8	1
0	58	4	1	1
0	58	4	8	2
0	58	4	9	2
0	58	8	4	1
0	58	9	4	1
0	58	19	24	6
0	58	19	70	12
0	58	19	90	6
0	58	24	38	1
0	58	24	66	1
0	58	42	69	3
0	58	54	44	1
0	58	54	71	1
0	58	54	174	3
0	58	65	42	1
0	58	65	69	1
0	58	65	78	1
0	58	69	42	1
0	58	70	19	3
0	58	70	90	2
0	58	71	54	1
0	58	78	42	1
0	58	78	69	3
0	58	78	76	6
0	58	78	92	4
0	58	90	19	12
0	58	90	70	2
0	58	90	144	12
0	58	90	148	1
0	58	90	153	3
0	58	90	268	1
0	58	90	285	2
0	58	90	299	18
0	58	90	306	2
0	58	90	315	4
0	58	90	332	1
0	58	90	369	1
0	58	110	124	1
0	58	124	98	1
0	58	124	110	23
0	58	124	184	3
0	58	124	195	2
0	58	124	198	12
0	58	124	233	1
0	58	124	273	2
0	58	124	423	1
0	58	124	622	8
0	58	124	800	3
0	58	124	803	4
0	58	124	817	3
0	58	124	825	2
0	58	124	846	2
0	58	141	156	2
0	58	142	90	1
0	58	142	153	2
0	58	144	90	2
0	58	147	118	1
0	58	147	152	7
0	58	152	147	3
0	58	152	156	2
0	58	152	171	7
0	58	152	256	9
0	58	152	339	4
0	58	152	383	2
0	58	152	406	10
0	58	152	412	9
0	58	152	417	3
0	58	156	117	1
0	58	156	127	9
0	58	156	141	14
0	58	156	152	5
0	58	156	171	48
0	58	156	241	10
0	58	156	279	12
0	58	156	429	1
0	58	171	156	2
0	58	184	124	1
0	58	184	183	1
0	58	184	195	1
0	58	195	198	1
0	58	198	183	2
0	58	198	184	2
0	58	198	233	3
0	58	227	54	1
0	58	227	225	1
0	58	227	232	7
0	58	227	243	10
0	58	227	247	5
0	58	227	263	5
0	58	227	293	2
0	58	227	307	14
0	58	227	313	2
0	58	227	314	7
0	58	227	330	5
0	58	227	336	11
0	58	227	337	1
0	58	227	350	1
0	58	232	227	1
0	58	233	198	1
0	58	247	227	1
0	58	247	263	1
0	58	248	233	1
0	58	248	310	5
0	58	248	338	1
0	58	256	152	2
0	58	256	241	1
0	58	279	156	3
0	58	279	256	1
0	58	279	360	6
0	58	285	90	1
0	58	285	299	1
0	58	285	342	1
0	58	285	383	1
0	58	290	248	1
0	58	290	382	2
0	58	293	296	2
0	58	299	90	1
0	58	299	285	2
0	58	299	375	1
0	58	307	227	3
0	58	315	90	4
0	58	315	367	2
0	58	335	248	2
0	58	335	391	4
0	58	336	227	7
0	58	336	316	3
0	58	336	369	4
0	58	336	415	15
0	58	336	487	1
0	58	336	505	2
0	58	337	227	3
0	58	337	314	3
0	58	337	330	1
0	58	337	336	3
0	58	337	350	2
0	58	337	415	4
0	58	342	299	5
0	58	342	352	1
0	58	342	375	2
0	58	342	416	6
0	58	342	419	1
0	58	360	279	6
0	58	360	339	1
0	58	360	406	10
0	58	360	429	6
0	58	360	449	1
0	58	360	513	1
0	58	367	332	3
0	58	367	342	1
0	58	367	375	2
0	58	367	393	1
0	58	375	367	1
0	58	382	290	1
0	58	382	423	1
0	58	383	317	1
0	58	391	335	4
0	58	391	408	4
0	58	391	439	5
0	58	393	399	2
0	58	399	393	1
0	58	406	360	1
0	58	408	248	1
0	58	408	388	1
0	58	408	391	2
0	58	408	439	5
0	58	412	152	1
0	58	415	336	10
0	58	416	342	1
0	58	416	419	2
0	58	416	428	1
0	58	416	468	3
0	58	416	474	6
0	58	416	528	1
0	58	416	563	4
0	58	416	598	2
0	58	417	152	1
0	58	417	435	3
0	58	419	416	1
0	58	422	336	2
0	58	423	391	1
0	58	423	401	4
0	58	423	439	1
0	58	423	488	2
0	58	423	518	3
0	58	425	1	1
0	58	425	437	2
0	58	429	360	15
0	58	429	490	4
0	58	429	544	1
0	58	429	551	1
0	58	436	338	1
0	58	436	441	4
0	58	436	495	1
0	58	437	1	2
0	58	437	425	19
0	58	437	457	5
0	58	437	460	1
0	58	437	569	1
0	58	437	671	1
0	58	437	704	2
0	58	439	388	1
0	58	439	391	15
0	58	439	408	8
0	58	439	423	5
0	58	439	450	25
0	58	439	488	3
0	58	439	494	6
0	58	439	518	5
0	58	439	648	15
0	58	439	657	6
0	58	439	726	4
0	58	439	732	8
0	58	439	751	11
0	58	439	764	26
0	58	439	777	13
0	58	439	809	4
0	58	439	825	8
0	58	439	847	1
0	58	439	890	3
0	58	439	896	15
0	58	439	952	8
0	58	439	953	4
0	58	439	987	1
0	58	441	450	1
0	58	443	449	2
0	58	443	452	2
0	58	450	388	1
0	58	450	439	6
0	58	452	412	2
0	58	452	443	1
0	58	460	1	1
0	58	460	436	2
0	58	460	495	1
0	58	460	568	1
0	58	468	416	6
0	58	474	416	1
0	58	474	525	3
0	58	488	423	2
0	58	488	439	1
0	58	490	429	1
0	58	494	450	1
0	58	495	460	1
0	58	495	648	1
0	58	497	504	1
0	58	505	336	1
0	58	505	415	1
0	58	505	487	1
0	58	505	558	1
0	58	505	584	5
0	58	505	604	2
0	58	505	640	6
0	58	505	665	1
0	58	514	492	4
0	58	514	544	2
0	58	514	739	2
0	58	516	525	1
0	58	518	439	1
0	58	518	488	1
0	58	518	590	4
0	58	518	657	1
0	58	524	582	2
0	58	525	474	8
0	58	525	503	2
0	58	525	516	3
0	58	525	589	1
0	58	525	619	12
0	58	525	660	5
0	58	525	661	9
0	58	525	713	2
0	58	525	716	4
0	58	525	737	8
0	58	525	753	5
0	58	525	758	19
0	58	525	773	10
0	58	525	834	5
0	58	525	863	9
0	58	525	974	1
0	58	528	504	4
0	58	528	598	1
0	58	558	521	1
0	58	560	534	1
0	58	560	582	1
0	58	561	545	1
0	58	563	416	3
0	58	568	495	1
0	58	569	460	1
0	58	569	648	1
0	58	574	582	1
0	58	582	524	1
0	58	582	612	2
0	58	582	728	1
0	58	582	735	3
0	58	590	518	1
0	58	598	504	1
0	58	598	528	1
0	58	598	553	2
0	58	598	563	2
0	58	598	576	3
0	58	598	610	12
0	58	598	650	3
0	58	598	656	11
0	58	598	661	1
0	58	598	716	1
0	58	598	753	3
0	58	598	759	1
0	58	598	787	1
0	58	604	505	2
0	58	604	558	1
0	58	610	598	1
0	58	619	525	2
0	58	622	124	6
0	58	622	623	6
0	58	640	505	1
0	58	640	665	1
0	58	648	439	10
0	58	648	457	1
0	58	648	568	3
0	58	648	569	1
0	58	648	764	5
0	58	656	598	1
0	58	657	439	1
0	58	657	590	1
0	58	660	525	2
0	58	660	561	1
0	58	661	525	1
0	58	665	640	4
0	58	665	656	1
0	58	665	745	2
0	58	707	704	1
0	58	707	721	2
0	58	713	737	2
0	58	716	661	1
0	58	722	705	1
0	58	726	732	1
0	58	728	582	1
0	58	728	612	2
0	58	728	735	2
0	58	728	772	3
0	58	728	844	1
0	58	735	739	2
0	58	737	525	2
0	58	737	713	1
0	58	753	525	1
0	58	758	525	5
0	58	758	737	1
0	58	758	858	1
0	58	759	598	1
0	58	762	707	2
0	58	762	768	2
0	58	764	439	28
0	58	764	648	12
0	58	764	762	4
0	58	764	768	14
0	58	764	809	1
0	58	764	860	5
0	58	764	896	11
0	58	764	1011	1
0	58	764	1034	1
0	58	764	1062	3
0	58	764	1063	11
0	58	764	1107	1
0	58	764	1112	7
0	58	764	1130	15
0	58	764	1141	5
0	58	764	1148	3
0	58	764	1154	1
0	58	768	764	1
0	58	772	728	4
0	58	772	833	1
0	58	772	844	1
0	58	773	525	2
0	58	777	439	2
0	58	787	598	1
0	58	787	759	1
0	58	790	816	1
0	58	790	950	1
0	58	799	728	2
0	58	799	844	1
0	58	800	803	1
0	58	800	808	1
0	58	803	124	1
0	58	803	808	6
0	58	803	817	1
0	58	808	800	2
0	58	808	824	4
0	58	809	439	1
0	58	816	790	1
0	58	817	803	1
0	58	817	846	3
0	58	817	880	1
0	58	825	439	1
0	58	830	787	1
0	58	830	864	2
0	58	833	876	7
0	58	833	892	6
0	58	833	922	1
0	58	844	728	3
0	58	844	850	4
0	58	844	876	2
0	58	844	931	2
0	58	844	955	2
0	58	846	817	3
0	58	846	847	2
0	58	846	951	1
0	58	847	846	3
0	58	850	844	3
0	58	858	758	1
0	58	863	525	2
0	58	863	834	3
0	58	863	858	2
0	58	872	885	1
0	58	872	921	3
