PatchID	Year_0	Year_2	Year_4	Year_6	Year_8	Year_10	Year_12	Year_14	Year_16	Year_18	Year_20	Year_22	Year_24	Year_26	Year_28	Year_30	Year_32	Year_34	Year_36	Year_38	Year_40	Year_42	Year_44	Year_46	Year_48	Year_50	Year_52	Year_54	Year_56	Year_58	Year_60
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.5	1	1	1	1	0.5	1	0.5	1	0.5	1	1	1	1	1	1
5	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.5
8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9	0	1	1	1	1	0.5	0.5	0.5	0.5	0	1	1	0.5	1	1	0.5	1	1	1	0.5	1	0.5	1	0.5	0.5	1	0.5	0.5	0	0.5	1
11	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
24	0	0.5	0.5	0.5	1	0.5	1	0.5	0.5	1	0.5	0.5	0.5	0.5	1	0.5	1	1	1	1	1	1	0.5	0.5	0.5	0	1	0.5	1	0.5	0.5
38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0
42	1	0.5	0.5	0.5	1	1	1	1	1	1	1	0.5	0.5	0.5	0.5	1	1	1	1	1	1	1	0.5	0.5	0.5	0.5	1	1	1	1	1
44	0	1	0.5	1	0.5	0.5	0	1	0	0.5	1	0.5	1	0.5	0.5	0.5	0.5	0	1	0.5	0.5	0.5	1	1	1	1	0.5	1	0.5	1	1
46	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0
54	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
55	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0
59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0.5	0	0	0	0
61	0	0.5	0.5	0	0.5	1	1	0.5	1	0	0.5	0.5	0.5	0	0	0	1	1	0	0.5	1	0.5	0	0	0	0.5	0.5	0.5	0.5	0	0
65	0	0.5	0	0.5	0.5	0.5	1	0.5	1	1	0.5	1	0.5	0.5	0	0.5	0.5	1	0.5	0.5	0	1	0.5	0.5	0.5	0.5	1	0.5	1	1	0.5
66	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
67	0	1	1	0	0.5	0	0	0	0	0.5	0.5	0.5	1	0.5	0	0	0	0	0.5	0.5	1	0	0.5	1	0.5	0.5	0	0	0	0.5	1
69	0.5	1	0.5	1	1	1	1	1	0.5	1	1	1	0.5	1	1	1	1	1	1	1	1	1	1	0.5	0.5	0.5	1	1	0.5	0.5	0.5
70	0.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
71	1	1	1	0.5	0.5	1	0.5	1	1	0.5	0.5	1	1	0.5	0.5	0.5	0	0.5	0.5	0.5	1	1	1	1	0.5	0.5	0.5	0.5	0.5	0.5	1
76	0	0	0	0.5	0	1	0.5	0.5	0	0	1	0.5	0.5	0.5	0	0.5	1	1	0.5	0.5	0.5	0	1	1	0.5	1	1	0	0.5	1	1
78	1	0.5	1	1	1	1	1	1	1	1	1	1	1	0.5	0.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
81	0	0.5	0.5	0.5	0.5	1	0	0	0	0.5	0	1	1	0.5	0	0.5	0.5	0.5	1	0.5	0.5	0.5	0	0.5	1	1	1	0.5	0	0	0.5
87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
90	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
92	0.5	1	0.5	1	1	1	1	1	0.5	1	1	1	0.5	0	0	0.5	0.5	0.5	0	0.5	0	0.5	0	0.5	0.5	0	0	1	1	1	0.5
95	0	0.5	0.5	0.5	0	0.5	0	0	0	0	0.5	0	0.5	0	0.5	0	0.5	0	0.5	0	0	1	0	0	0	0.5	0.5	0.5	0	0	0
98	0	1	0.5	1	0	0.5	0	0	0.5	0	0.5	0.5	1	0	0	0.5	1	0.5	0.5	0	0	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0	1
101	0	1	1	0.5	0.5	1	1	1	1	1	1	1	1	0	1	1	0.5	1	1	1	0.5	0.5	0.5	0	1	0.5	1	1	1	0.5	1
105	0	0	0.5	0	0	0.5	0	0	0	0	0	0	0.5	0.5	0.5	0	0	0.5	0	0.5	0	0	0	0.5	0	0	0	0	0	0	0.5
110	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
117	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
118	1	0.5	1	1	1	1	1	0.5	1	1	1	1	1	1	1	0.5	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0.5
121	0	1	0	0.5	0.5	1	0.5	0.5	0.5	0.5	0	0.5	0	0	0	0	0.5	0	0.5	0	0	0	0	0.5	0.5	1	0	0	0	0	0.5
124	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
127	0	1	1	1	1	1	1	1	1	0.5	1	1	1	1	0.5	1	1	1	0.5	1	1	1	1	1	0.5	1	1	1	1	1	1
141	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.5	1	1	1	1	1	1	1	1	1	1	1
142	0	0	0	0.5	0	0	0	0	0.5	0.5	0	0.5	0	0	0.5	0.5	0	1	0	0.5	0	0.5	0	0.5	0	0	0	0.5	1	1	0
144	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
