Rep	Year	RepSeason	NInds	NOccupPatches	Occup/Suit	min_X	max_X	min_Y	max_Y
0	0	0	9258	308	0.333333	595000	600000	265000	270000
0	2	0	11776	482	0.521645	595000	600000	265000	270000
0	4	0	11778	465	0.503247	595000	600000	265000	270000
0	6	0	11911	474	0.512987	595000	600000	265000	270000
0	8	0	11657	455	0.492424	595000	600000	265000	270000
0	10	0	11803	464	0.502164	595000	600000	265000	270000
0	12	0	11661	438	0.474026	595000	600000	265000	270000
0	14	0	11637	436	0.471861	595000	600000	265000	270000
0	16	0	11871	463	0.501082	595000	600000	265000	270000
0	18	0	11657	452	0.489177	595000	600000	265000	270000
0	20	0	11522	440	0.47619	595000	600000	265000	270000
0	22	0	11727	438	0.474026	595000	600000	265000	270000
0	24	0	11865	433	0.468615	595000	600000	265000	270000
0	26	0	11523	445	0.481602	595000	600000	265000	270000
0	28	0	11688	438	0.474026	595000	600000	265000	270000
0	30	0	11412	431	0.46645	595000	600000	265000	270000
0	32	0	11678	429	0.464286	595000	600000	265000	270000
0	34	0	11659	428	0.463203	595000	600000	265000	270000
0	36	0	11457	423	0.457792	595000	600000	265000	270000
0	38	0	11575	436	0.471861	595000	600000	265000	270000
0	40	0	11558	430	0.465368	595000	600000	265000	270000
0	42	0	11471	440	0.47619	595000	600000	265000	270000
0	44	0	11336	420	0.454545	595000	600000	265000	270000
0	46	0	11561	429	0.464286	595000	600000	265000	270000
0	48	0	11867	433	0.468615	595000	600000	265000	270000
0	50	0	11676	425	0.459957	595000	600000	265000	270000
0	52	0	11393	425	0.459957	595000	600000	265000	270000
0	54	0	11864	427	0.462121	595000	600000	265000	270000
0	56	0	11233	417	0.451299	595000	600000	265000	270000
0	58	0	11501	426	0.461039	595000	600000	265000	270000
0	60	0	11465	441	0.477273	595000	600000	265000	270000
1	0	0	9258	312	0.337662	595000	600000	265000	270000
1	2	0	11591	480	0.519481	595000	600000	265000	270000
1	4	0	11822	458	0.495671	595000	600000	265000	270000
1	6	0	11896	471	0.50974	595000	600000	265000	270000
1	8	0	11942	456	0.493506	595000	600000	265000	270000
1	10	0	11644	445	0.481602	595000	600000	265000	270000
1	12	0	11713	445	0.481602	595000	600000	265000	270000
1	14	0	11599	454	0.491342	595000	600000	265000	270000
1	16	0	11686	448	0.484848	595000	600000	265000	270000
1	18	0	11985	452	0.489177	595000	600000	265000	270000
1	20	0	11760	445	0.481602	595000	600000	265000	270000
1	22	0	11787	452	0.489177	595000	600000	265000	270000
1	24	0	11501	444	0.480519	595000	600000	265000	270000
1	26	0	11760	441	0.477273	595000	600000	265000	270000
1	28	0	11662	424	0.458874	595000	600000	265000	270000
1	30	0	11624	435	0.470779	595000	600000	265000	270000
1	32	0	11676	443	0.479437	595000	600000	265000	270000
1	34	0	11738	438	0.474026	595000	600000	265000	270000
1	36	0	11514	435	0.470779	595000	600000	265000	270000
1	38	0	11690	433	0.468615	595000	600000	265000	270000
1	40	0	11743	439	0.475108	595000	600000	265000	270000
1	42	0	11718	436	0.471861	595000	600000	265000	270000
1	44	0	11316	425	0.459957	595000	600000	265000	270000
1	46	0	11604	438	0.474026	595000	600000	265000	270000
1	48	0	11561	424	0.458874	595000	600000	265000	270000
1	50	0	11524	429	0.464286	595000	600000	265000	270000
1	52	0	11866	430	0.465368	595000	600000	265000	270000
1	54	0	11487	434	0.469697	595000	600000	265000	270000
1	56	0	11826	435	0.470779	595000	600000	265000	270000
1	58	0	11774	438	0.474026	595000	600000	265000	270000
1	60	0	11475	447	0.483766	595000	600000	265000	270000
