Year	Mean_OccupSuit	Std_error
0	0.345238	0.00216379
2	0.520563	0.00108176
4	0.521645	0.0108223
6	0.508117	0.00378732
8	0.50974	0.00757544
10	0.509594	0.00733679
12	0.475734	0.00959396
14	0.468397	0.0124151
16	0.459932	0.0050787
18	0.459368	0.00338554
20	0.455982	0.00564377
22	0.450339	0.00564298
24	0.449774	0.00846524
26	0.457111	0.00112729
28	0.453725	0.00451459
30	0.440181	0.00225801
32	0.455418	0.0152371
34	0.44921	0.00677173
36	0.450339	0.0045149
38	0.45316	0.00507924
40	0.446388	0.00620767
42	0.450339	0.00225736
44	0.437923	0.00677185
46	0.441309	0.01693
48	0.429458	0.0129796
50	0.437359	0.00282261
52	0.436795	0.00112943
54	0.443002	0.00846524
56	0.444695	0.00451479
58	0.447517	0.00846476
60	0.439616	0.00733624
