Rep	Year	PatchID0	PatchID1	Distance	MeanNAlleles	FIS	FIT	FST	MeanD	HarmMeanD
0	40	-1	-1	-1	25	-0.0227194	0.135683	0.154883	0.726882	0.72537
0	40	90	248	2875.64	11.2	-0.0773082	0.123943	0.186809	0.697278	0.560155
0	40	90	525	925.014	13.5333	-0.0379546	0.089626	0.122915	0.649199	0.598378
0	40	90	622	4083.97	11.6	-0.0238188	0.153671	0.173361	0.740235	0.638707
0	40	90	764	2898.04	14.8	-0.0349586	0.0564523	0.0883232	0.538902	0.424737
0	40	90	892	1975.16	11.6	-0.0398225	0.159495	0.191684	0.784999	0.726379
0	40	90	970	1417.36	11.2667	-0.0346535	0.20237	0.229085	0.766495	0.709375
0	40	90	1182	2832.12	15.4667	-0.0136693	0.077886	0.0903207	0.567224	0.441911
0	40	90	1306	4201.21	13.6	-0.0345013	0.128183	0.157259	0.809401	0.781351
0	40	90	1442	3168.3	15.8667	-0.0271318	0.0702978	0.0948559	0.589184	0.484055
0	40	90	1497	3506.38	14.6	-0.0340957	0.107213	0.136649	0.752297	0.735687
0	40	90	1555	2270.93	13.3333	-0.0159569	0.112903	0.126836	0.697283	0.64874
0	40	90	1673	3370.52	11.2667	-0.0532346	0.150785	0.193707	0.735548	0.675832
0	40	90	2097	4974.94	13.0667	-0.0411793	0.0949588	0.130754	0.665426	0.634599
0	40	248	525	2438.7	12.6667	-0.0635911	0.129816	0.181843	0.719544	0.613348
0	40	248	622	1270.47	9.2	-0.0497365	0.198805	0.236766	0.791259	0.739203
0	40	248	764	875.685	13.8	-0.0596012	0.103411	0.153843	0.669805	0.592532
0	40	248	892	1611.16	9.53333	-0.0677064	0.201442	0.252081	0.814439	0.683842
0	40	248	970	3801.18	9.06667	-0.0639197	0.257768	0.302361	0.826216	0.785771
0	40	248	1182	1660.12	14.6667	-0.0364016	0.130625	0.16116	0.719996	0.675806
0	40	248	1306	1765.51	11.0667	-0.0603619	0.158636	0.206531	0.76029	0.686836
0	40	248	1442	2013.31	14.6667	-0.0509127	0.0988489	0.142506	0.637798	0.55681
0	40	248	1497	2051.25	12.8667	-0.0594229	0.153043	0.200549	0.787516	0.733137
0	40	248	1555	3603.1	11.7333	-0.0397578	0.155984	0.188257	0.753105	0.701158
0	40	248	1673	2330.82	8.8	-0.0828395	0.188	0.250119	0.782887	0.708571
0	40	248	2097	3166.2	11.4667	-0.0673294	0.147555	0.201329	0.762524	0.712962
0	40	525	622	3515.43	13.3333	-0.0115258	0.145788	0.155522	0.7283	0.558762
0	40	525	764	2215.9	15.5333	-0.0234327	0.0651408	0.0865456	0.599992	0.479857
0	40	525	892	1157.67	12.6667	-0.027027	0.13437	0.15715	0.669868	0.594663
0	40	525	970	1363.47	12.4667	-0.0211781	0.20264	0.219177	0.799484	0.680853
0	40	525	1182	1984.45	16.3333	-0.00256294	0.0710842	0.0734588	0.535004	0.496164
0	40	525	1306	3473.16	14.3333	-0.0224487	0.117877	0.137245	0.742161	0.711463
0	40	525	1442	2286.16	16.6667	-0.0158284	0.0661752	0.0807258	0.574467	0.495539
0	40	525	1497	2639.04	14.9333	-0.0222616	0.0878961	0.107759	0.62114	0.377349
0	40	525	1555	1599.98	14.1333	-0.00442271	0.107833	0.111761	0.660462	0.599893
0	40	525	1673	2466.4	12.4667	-0.04	0.152087	0.184699	0.74642	0.633655
0	40	525	2097	4098.16	14.2667	-0.0291334	0.0815053	0.107507	0.578978	0.463431
0	40	622	764	1353.38	14.0667	-0.00917235	0.118467	0.126479	0.657443	0.603297
0	40	622	892	2465.49	9.4	-0.0114154	0.194018	0.203115	0.709369	0.639621
0	40	622	970	4840.96	9.8	-0.00421569	0.261571	0.264671	0.805109	0.704324
0	40	622	1182	2032.95	15	0.0126221	0.135097	0.124041	0.687755	0.653797
0	40	622	1306	927.214	11.6	-0.00743889	0.155193	0.161431	0.687908	0.456745
0	40	622	1442	2182.41	15.6	-0.00132017	0.125252	0.126405	0.688614	0.625773
0	40	622	1497	1995.28	13.4667	-0.00752045	0.148974	0.155326	0.73555	0.688936
0	40	622	1555	4369.18	11.7333	0.0112298	0.155067	0.145471	0.669881	0.630846
0	40	622	1673	2421.91	9.53333	-0.024863	0.21907	0.238015	0.839826	0.235914
0	40	622	2097	2494.28	12	-0.0146244	0.15918	0.171299	0.758254	0.663175
0	40	764	892	1117.02	14	-0.0241808	0.12726	0.147865	0.702545	0.613634
0	40	764	970	3507.41	13.7333	-0.0183449	0.162962	0.178041	0.686327	0.610729
0	40	764	1182	818.184	16.7333	-0.000636288	0.0416815	0.0422909	0.368785	0.256775
0	40	764	1306	1308.15	15.3333	-0.019871	0.0877593	0.105533	0.65417	0.570778
0	40	764	1442	1141.6	17.3333	-0.0135565	0.0281307	0.0411296	0.355297	0.265926
0	40	764	1497	1185.01	16	-0.0197332	0.0718077	0.0897694	0.618749	0.482295
0	40	764	1555	3030.81	15.0667	-0.00237963	0.0797085	0.0818933	0.552808	0.441469
0	40	764	1673	1456.79	13.8	-0.0367261	0.127517	0.158425	0.717395	0.661901
0	40	764	2097	2428.42	15.4	-0.0263966	0.0618754	0.0860018	0.560542	0.498106
0	40	892	970	2395.01	9.86667	-0.0218734	0.276378	0.291868	0.86761	0.745779
0	40	892	1182	858.516	15.2	-0.00182933	0.135459	0.137038	0.699522	0.656444
0	40	892	1306	2323.04	11.7333	-0.0231603	0.168721	0.187538	0.747645	0.680028
0	40	892	1442	1221.32	14.9333	-0.0160318	0.122761	0.136602	0.68901	0.65294
0	40	892	1497	1538.45	13.4667	-0.022946	0.163769	0.182527	0.790413	0.757551
0	40	892	1555	1994.15	11.4667	-0.00379761	0.138786	0.142045	0.592562	0.463319
0	40	892	1673	1471.06	9.33333	-0.0421842	0.230072	0.261236	0.862928	0.646615
0	40	892	2097	3007.61	12.2	-0.0303338	0.162304	0.186966	0.796167	0.74361
0	40	970	1182	3099.19	14.7333	0.0052356	0.186309	0.182026	0.72563	0.684133
0	40	970	1306	4693.09	11.1333	-0.0169533	0.223199	0.236148	0.779464	0.735114
0	40	970	1442	3291.58	15.5333	-0.00978719	0.177455	0.185427	0.73726	0.688926
0	40	970	1497	3665.12	13.1333	-0.0168506	0.217286	0.230256	0.823168	0.790908
0	40	970	1555	1322.96	11.8667	0.00343358	0.222432	0.219753	0.808571	0.766264
0	40	970	1673	3370.46	9.33333	-0.0367261	0.279467	0.304991	0.879799	0.830016
0	40	970	2097	5034.61	11.9333	-0.024627	0.214523	0.233402	0.805666	0.765115
0	40	1182	1306	1622.23	15.9333	0.00132938	0.0984038	0.0972036	0.642883	0.612292
0	40	1182	1442	417.163	17.3333	0.00649981	0.0430537	0.036793	0.356363	0.300659
0	40	1182	1497	683.1	16.7333	0.00110575	0.0770724	0.0760507	0.550507	0.521136
0	40	1182	1555	2379.44	15.6667	0.0182603	0.0847699	0.0677467	0.474309	0.182094
0	40	1182	1673	728.371	14.7333	-0.0138874	0.126309	0.138276	0.642408	0.616238
0	40	1182	2097	2150.17	16.2667	-0.00532158	0.083326	0.0881783	0.594284	0.505855
0	40	1306	1442	1597.03	16	-0.0121677	0.0821809	0.0932144	0.615284	0.536266
0	40	1306	1497	1301.42	14.8	-0.0185775	0.110211	0.126439	0.673093	0.57968
0	40	1306	1555	3985.91	13.5333	-0.000423774	0.125846	0.126217	0.69018	0.654324
0	40	1306	1673	1748.89	11.3333	-0.0363235	0.16722	0.19641	0.740057	0.447905
0	40	1306	2097	1571.34	13.7333	-0.0255422	0.124696	0.146496	0.751681	0.612486
0	40	1442	1497	373.631	17.2667	-0.012162	0.0743975	0.0855194	0.632578	0.580622
0	40	1442	1555	2419.35	16.1333	0.00501605	0.0766782	0.0720234	0.530128	0.468139
0	40	1442	1673	321.403	15.4667	-0.0283184	0.124939	0.149037	0.677913	0.593487
0	40	1442	2097	1812.02	16.4	-0.0186996	0.0722147	0.0892455	0.621965	0.596462
0	40	1497	1555	2775.36	14.6	-0.00062448	0.111462	0.112017	0.664561	0.60635
0	40	1497	1673	447.772	12.5333	-0.0358525	0.150521	0.179923	0.710647	0.645391
0	40	1497	2097	1469.5	14.7333	-0.0252985	0.0972283	0.119504	0.660746	0.598273
0	40	1555	1673	2391.41	11.4	-0.0163543	0.141529	0.155343	0.614175	0.523659
0	40	1555	2097	3981.35	13.4667	-0.0072962	0.121739	0.128101	0.728364	0.659389
0	40	1673	2097	1668.18	11.6667	-0.0434883	0.175044	0.209425	0.832864	0.791767
0	40	-999	-999	91	-999	-0.0450985	0.288735	0.272554	0.281326	0.262667
0	50	-1	-1	-1	24.3333	0.00749239	0.182742	0.176572	0.748361	0.746817
0	50	90	248	2875.64	10.4	0.0105739	0.248545	0.240514	0.798601	0.760932
0	50	90	525	925.014	12.5333	0.00246103	0.150931	0.148836	0.687681	0.639811
0	50	90	622	4083.97	11.0667	-0.00359879	0.196397	0.199279	0.75724	0.67843
0	50	90	764	2898.04	14.9333	0.0129359	0.112094	0.100457	0.601974	0.522787
0	50	90	892	1975.16	10.9333	0.00131705	0.216176	0.215143	0.753391	0.289829
0	50	90	970	1417.36	10.7333	0.0288863	0.263075	0.241155	0.8163	0.79001
0	50	90	1182	2832.12	15.0667	-0.00916476	0.103927	0.112065	0.642636	0.544058
0	50	90	1306	4201.21	12.6	-0.0134459	0.169119	0.180143	0.812587	0.790387
0	50	90	1442	3168.3	14.8667	-0.0126753	0.098022	0.109312	0.629811	0.558597
0	50	90	1497	3506.38	13.6667	0.00665793	0.160386	0.154758	0.720488	0.650212
0	50	90	1555	2270.93	12.7333	-0.0170973	0.137438	0.151937	0.711023	0.652372
0	50	90	1673	3370.52	10.6	0.0269326	0.22815	0.206787	0.69015	0.516322
0	50	90	2097	4974.94	12.8	0.00977875	0.155939	0.147604	0.722696	0.551454
0	50	248	525	2438.7	10.8667	0.0156627	0.234228	0.222043	0.760153	0.702666
0	50	248	622	1270.47	8.33333	0.00984366	0.285903	0.278804	0.825583	0.619315
0	50	248	764	875.685	13.9333	0.026359	0.197408	0.175679	0.72677	0.60359
0	50	248	892	1611.16	8.26667	0.01578	0.330954	0.320227	0.905925	0.883823
0	50	248	970	3801.18	8.46667	0.0466685	0.354223	0.32261	0.867316	0.849994
0	50	248	1182	1660.12	13.6667	0.00222615	0.179926	0.178096	0.712814	0.632263
0	50	248	1306	1765.51	9.53333	-0.00165512	0.233375	0.234642	0.753192	0.5759
0	50	248	1442	2013.31	13.6	-0.00165101	0.160624	0.162007	0.643557	0.576502
0	50	248	1497	2051.25	12.0667	0.0202536	0.24918	0.233658	0.804124	0.753766
0	50	248	1555	3603.1	10.5333	-0.0058958	0.229456	0.233972	0.810955	0.75123
0	50	248	1673	2330.82	7.73333	0.0443938	0.330536	0.299436	0.812467	0.773379
0	50	248	2097	3166.2	10.8667	0.0237064	0.255579	0.237503	0.824824	0.750963
0	50	525	622	3515.43	11.8	0.00143127	0.194384	0.193229	0.785748	0.690771
0	50	525	764	2215.9	15.4667	0.0172246	0.103671	0.0879617	0.587036	0.54126
0	50	525	892	1157.67	10.4	0.00643334	0.20974	0.204623	0.722077	0.651512
0	50	525	970	1363.47	11.4	0.0336676	0.249967	0.223835	0.794324	0.712992
