Simulation	IndVar	PR	PRMethod	DP	MemSize	GB	GoalType	AlphaDB	BetaDB	DPMean	DPSD	GBMean	GBSD	AlphaDBMean	AlphaDBSD	BetaDBMean	BetaDBSD	DPScale	GBScale	AlphaDBScale	BetaDBScale	StraightenPath	SMtype	SMconst	MortHab1	MortHab2	MortHab3	MortHab4	MortHab5	MortHab6	MortHab7	MortHab8	MortHab9	CostMap	CostMapFile	CostHab1	CostHab2	CostHab3	CostHab4	CostHab5	CostHab6	CostHab7	CostHab8	CostHab9
1	0	4	2	5	1	1	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	0.01	0.02	0.02	0	0	0	0	0	0	0.02	0	NULL	1000	10	1	1	1	1	1	1	10
2	0	4	2	5	1	1	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	0.01	0.02	0.02	0	0	0	0	0	0	0.02	0	NULL	1000	10	1	1	1	1	1	1	10
3	0	4	2	5	1	1	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	0.01	0.02	0.02	0	0	0	0	0	0	0.02	0	NULL	1000	10	1	1	1	1	1	1	10
4	0	4	2	7	1	1	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	0.01	0.02	0.02	0	0	0	0	0	0	0.02	0	NULL	1000	10	1	1	1	1	1	1	10
5	0	4	2	7	1	1	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	0.01	0.02	0.02	0	0	0	0	0	0	0.02	0	NULL	1000	10	1	1	1	1	1	1	10
6	0	4	2	7	1	1	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	0.01	0.02	0.02	0	0	0	0	0	0	0.02	0	NULL	1000	10	1	1	1	1	1	1	10
7	0	4	2	9	1	1	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	0.01	0.02	0.02	0	0	0	0	0	0	0.02	0	NULL	1000	10	1	1	1	1	1	1	10
8	0	4	2	9	1	1	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	0.01	0.02	0.02	0	0	0	0	0	0	0.02	0	NULL	1000	10	1	1	1	1	1	1	10
9	0	4	2	9	1	1	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	0.01	0.02	0.02	0	0	0	0	0	0	0.02	0	NULL	1000	10	1	1	1	1	1	1	10
10	0	4	2	5	1	1	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	0.01	0.035	0.035	0	0	0	0	0	0	0.035	0	NULL	1000	10	1	1	1	1	1	1	10
11	0	4	2	5	1	1	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	0.01	0.035	0.035	0	0	0	0	0	0	0.035	0	NULL	1000	10	1	1	1	1	1	1	10
12	0	4	2	5	1	1	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	0.01	0.035	0.035	0	0	0	0	0	0	0.035	0	NULL	1000	10	1	1	1	1	1	1	10
13	0	4	2	7	1	1	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	0.01	0.035	0.035	0	0	0	0	0	0	0.035	0	NULL	1000	10	1	1	1	1	1	1	10
14	0	4	2	7	1	1	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	0.01	0.035	0.035	0	0	0	0	0	0	0.035	0	NULL	1000	10	1	1	1	1	1	1	10
15	0	4	2	7	1	1	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	0.01	0.035	0.035	0	0	0	0	0	0	0.035	0	NULL	1000	10	1	1	1	1	1	1	10
16	0	4	2	9	1	1	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	0.01	0.035	0.035	0	0	0	0	0	0	0.035	0	NULL	1000	10	1	1	1	1	1	1	10
17	0	4	2	9	1	1	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	0.01	0.035	0.035	0	0	0	0	0	0	0.035	0	NULL	1000	10	1	1	1	1	1	1	10
