Simulation	PatchMethod	RowsFront	MaxNPatches	MaxPatchNum	PatchFile	MinIndsPatch	MaxIndsPatch	StageMethod	MinX	MaxX	MinY	MaxY	LandGen	LandGenStart	LandGenFreq	WriteSamples	SampleLoci	SampleFile
1	3	0	15	0	patches.txt	-18	20	0	-9	-9	-9	-9	1	58	2	0	0	NULL
2	3	0	15	0	patches.txt	-18	20	0	-9	-9	-9	-9	1	58	2	0	0	NULL
3	3	0	15	0	patches.txt	-18	20	0	-9	-9	-9	-9	1	58	2	0	0	NULL
4	3	0	15	0	patches.txt	-18	20	0	-9	-9	-9	-9	1	58	2	0	0	NULL
5	3	0	15	0	patches.txt	-18	20	0	-9	-9	-9	-9	1	58	2	0	0	NULL
6	3	0	15	0	patches.txt	-18	20	0	-9	-9	-9	-9	1	58	2	0	0	NULL
7	3	0	15	0	patches.txt	-18	20	0	-9	-9	-9	-9	1	58	2	0	0	NULL
8	3	0	15	0	patches.txt	-18	20	0	-9	-9	-9	-9	1	58	2	0	0	NULL
9	3	0	15	0	patches.txt	-18	20	0	-9	-9	-9	-9	1	58	2	0	0	NULL
10	3	0	15	0	patches.txt	-18	20	0	-9	-9	-9	-9	1	58	2	0	0	NULL
11	3	0	15	0	patches.txt	-18	20	0	-9	-9	-9	-9	1	58	2	0	0	NULL
12	3	0	15	0	patches.txt	-18	20	0	-9	-9	-9	-9	1	58	2	0	0	NULL
13	3	0	15	0	patches.txt	-18	20	0	-9	-9	-9	-9	1	58	2	0	0	NULL
14	3	0	15	0	patches.txt	-18	20	0	-9	-9	-9	-9	1	58	2	0	0	NULL
15	3	0	15	0	patches.txt	-18	20	0	-9	-9	-9	-9	1	58	2	0	0	NULL
16	3	0	15	0	patches.txt	-18	20	0	-9	-9	-9	-9	1	58	2	0	0	NULL
17	3	0	15	0	patches.txt	-18	20	0	-9	-9	-9	-9	1	58	2	0	0	NULL
18	3	0	15	0	patches.txt	-18	20	0	-9	-9	-9	-9	1	58	2	0	0	NULL
19	3	0	15	0	patches.txt	-18	20	0	-9	-9	-9	-9	1	58	2	0	0	NULL
20	3	0	15	0	patches.txt	-18	20	0	-9	-9	-9	-9	1	58	2	0	0	NULL
21	3	0	15	0	patches.txt	-18	20	0	-9	-9	-9	-9	1	58	2	0	0	NULL
22	3	0	15	0	patches.txt	-18	20	0	-9	-9	-9	-9	1	58	2	0	0	NULL
23	3	0	15	0	patches.txt	-18	20	0	-9	-9	-9	-9	1	58	2	0	0	NULL
24	3	0	15	0	patches.txt	-18	20	0	-9	-9	-9	-9	1	58	2	0	0	NULL
25	3	0	15	0	patches.txt	-18	20	0	-9	-9	-9	-9	1	58	2	0	0	NULL
26	3	0	15	0	patches.txt	-18	20	0	-9	-9	-9	-9	1	58	2	0	0	NULL
27	3	0	15	0	patches.txt	-18	20	0	-9	-9	-9	-9	1	58	2	0	0	NULL
