Year	Mean_OccupSuit	Std_error
0	0.335498	0.00216464
2	0.520563	0.00108176
4	0.499459	0.0037888
6	0.511364	0.0016199
8	0.492965	0.000546595
10	0.491883	0.0102812
12	0.477814	0.00378779
14	0.481602	0.00974034
16	0.492965	0.00811657
18	0.489177	0
20	0.478896	0.00270613
22	0.481602	0.00757564
24	0.474567	0.00595249
26	0.479437	0.00216492
28	0.46645	0.0075758
30	0.468615	0.00216424
32	0.471861	0.00757548
34	0.468615	0.00541094
36	0.464286	0.00649326
38	0.470238	0.00162382
40	0.470238	0.00487052
42	0.474026	0.00216489
44	0.457251	0.00270653
46	0.469156	0.00487003
48	0.463745	0.00487053
50	0.462121	0.00216476
52	0.462662	0.0027062
54	0.465909	0.00378764
56	0.461039	0.00974023
58	0.467532	0.0064936
60	0.480519	0.00324761
