Rep	Year	StartPatch	EndPatch	Ninds
0	58	1	2	36
0	58	1	4	8
0	58	1	8	7
0	58	1	9	7
0	58	1	105	2
0	58	1	156	3
0	58	1	248	9
0	58	1	338	14
0	58	1	425	43
0	58	1	436	4
0	58	1	437	5
0	58	1	441	1
0	58	1	457	4
0	58	1	460	1
0	58	4	2	1
0	58	8	2	1
0	58	19	24	2
0	58	19	90	3
0	58	44	54	1
0	58	54	44	5
0	58	54	71	2
0	58	54	174	6
0	58	90	19	4
0	58	90	70	2
0	58	90	142	5
0	58	90	144	9
0	58	90	153	2
0	58	90	268	1
0	58	90	276	1
0	58	90	285	1
0	58	90	299	10
0	58	90	315	8
0	58	101	78	7
0	58	101	118	2
0	58	118	101	5
0	58	124	98	1
0	58	124	110	29
0	58	124	157	1
0	58	124	184	2
0	58	124	195	3
0	58	124	198	6
0	58	124	233	2
0	58	124	423	1
0	58	124	573	1
0	58	124	622	7
0	58	124	754	1
0	58	124	755	2
0	58	124	800	3
0	58	124	803	1
0	58	124	817	1
0	58	124	846	1
0	58	144	90	3
0	58	147	118	2
0	58	147	152	1
0	58	152	76	1
0	58	152	118	2
0	58	152	147	6
0	58	152	171	8
0	58	152	256	9
0	58	152	383	1
0	58	152	406	5
0	58	152	412	21
0	58	152	417	2
0	58	152	452	1
0	58	152	470	1
0	58	156	1	3
0	58	156	127	9
0	58	156	141	18
0	58	156	152	5
0	58	156	171	36
0	58	156	241	14
0	58	156	256	3
0	58	156	279	6
0	58	171	156	1
0	58	195	183	1
0	58	198	183	1
0	58	198	216	1
0	58	198	233	3
0	58	204	212	1
0	58	227	232	5
0	58	227	243	11
0	58	227	247	2
0	58	227	263	2
0	58	227	307	7
0	58	227	313	3
0	58	227	314	7
0	58	227	330	3
0	58	227	336	7
0	58	227	337	3
0	58	227	350	5
0	58	233	198	2
0	58	233	290	2
0	58	248	198	1
0	58	248	212	4
0	58	248	233	1
0	58	248	310	8
0	58	248	338	1
0	58	248	408	1
0	58	256	152	3
0	58	256	156	1
0	58	256	360	1
0	58	276	90	2
0	58	279	152	1
0	58	279	156	3
0	58	279	360	7
0	58	285	90	2
0	58	289	283	1
0	58	290	233	4
0	58	290	382	2
0	58	293	263	1
0	58	293	289	1
0	58	299	90	3
0	58	299	285	3
0	58	299	342	3
0	58	314	227	2
0	58	314	320	1
0	58	315	90	2
0	58	330	227	2
0	58	335	290	1
0	58	335	310	1
0	58	335	388	2
0	58	335	391	3
0	58	336	227	5
0	58	336	313	1
0	58	336	337	1
0	58	336	399	1
0	58	336	415	5
0	58	336	422	2
0	58	336	505	1
0	58	337	227	3
0	58	337	314	1
0	58	337	336	2
0	58	337	350	2
0	58	337	415	7
0	58	339	152	1
0	58	342	299	2
0	58	342	367	1
0	58	342	375	2
0	58	342	393	1
0	58	342	416	3
0	58	342	419	4
0	58	350	337	1
0	58	352	375	1
0	58	360	279	9
0	58	360	406	7
0	58	360	429	13
0	58	369	289	1
0	58	375	367	2
0	58	382	290	1
0	58	382	391	1
0	58	388	408	2
0	58	388	439	3
0	58	388	441	1
0	58	391	290	1
0	58	391	335	2
0	58	391	408	1
0	58	391	423	1
0	58	391	439	5
0	58	393	332	2
0	58	393	392	1
0	58	393	399	2
0	58	399	393	1
0	58	401	382	1
0	58	406	152	3
0	58	406	360	3
0	58	408	335	1
0	58	408	388	1
0	58	408	391	2
0	58	408	439	4
0	58	415	336	4
0	58	415	337	3
0	58	416	342	2
0	58	416	419	4
