Rep	Year	RepSeason	NInds	NOccupPatches	Occup/Suit	min_X	max_X	min_Y	max_Y
0	0	0	9258	317	0.343074	595000	600000	265000	270000
0	2	0	11849	482	0.521645	595000	600000	265000	270000
0	4	0	12162	492	0.532468	595000	600000	265000	270000
0	6	0	11937	473	0.511905	595000	600000	265000	270000
0	8	0	11891	464	0.502164	595000	600000	265000	270000
0	10	0	11525	445	0.502257	595000	600000	265000	270000
0	12	0	10501	430	0.485327	595000	600000	265000	270000
0	14	0	10192	404	0.455982	595000	600000	265000	270000
0	16	0	10412	403	0.454853	595000	600000	265000	270000
0	18	0	10531	410	0.462754	595000	600000	265000	270000
0	20	0	10413	409	0.461625	595000	600000	265000	270000
0	22	0	10177	404	0.455982	595000	600000	265000	270000
0	24	0	10298	391	0.441309	595000	600000	265000	270000
0	26	0	10369	406	0.458239	595000	600000	265000	270000
0	28	0	10396	398	0.44921	595000	600000	265000	270000
0	30	0	9937	388	0.437923	595000	600000	265000	270000
0	32	0	10197	390	0.440181	595000	600000	265000	270000
0	34	0	10210	392	0.442438	595000	600000	265000	270000
0	36	0	10446	403	0.454853	595000	600000	265000	270000
0	38	0	10182	397	0.448081	595000	600000	265000	270000
0	40	0	9967	390	0.440181	595000	600000	265000	270000
0	42	0	10020	401	0.452596	595000	600000	265000	270000
0	44	0	10082	382	0.431151	595000	600000	265000	270000
0	46	0	9917	376	0.424379	595000	600000	265000	270000
0	48	0	10108	369	0.416479	595000	600000	265000	270000
0	50	0	10148	385	0.434537	595000	600000	265000	270000
0	52	0	10212	388	0.437923	595000	600000	265000	270000
0	54	0	9851	385	0.434537	595000	600000	265000	270000
0	56	0	9881	390	0.440181	595000	600000	265000	270000
0	58	0	10534	389	0.439052	595000	600000	265000	270000
0	60	0	10140	383	0.43228	595000	600000	265000	270000
1	0	0	9258	321	0.347403	595000	600000	265000	270000
1	2	0	11598	480	0.519481	595000	600000	265000	270000
1	4	0	12292	472	0.510823	595000	600000	265000	270000
1	6	0	11882	466	0.504329	595000	600000	265000	270000
1	8	0	11747	478	0.517316	595000	600000	265000	270000
1	10	0	11652	458	0.51693	595000	600000	265000	270000
1	12	0	10219	413	0.46614	595000	600000	265000	270000
1	14	0	10462	426	0.480813	595000	600000	265000	270000
1	16	0	10139	412	0.465011	595000	600000	265000	270000
1	18	0	10204	404	0.455982	595000	600000	265000	270000
1	20	0	9768	399	0.450339	595000	600000	265000	270000
1	22	0	10228	394	0.444695	595000	600000	265000	270000
1	24	0	10208	406	0.458239	595000	600000	265000	270000
1	26	0	10204	404	0.455982	595000	600000	265000	270000
1	28	0	10231	406	0.458239	595000	600000	265000	270000
1	30	0	10341	392	0.442438	595000	600000	265000	270000
1	32	0	10154	417	0.470655	595000	600000	265000	270000
1	34	0	10160	404	0.455982	595000	600000	265000	270000
1	36	0	10124	395	0.445824	595000	600000	265000	270000
1	38	0	10322	406	0.458239	595000	600000	265000	270000
1	40	0	10291	401	0.452596	595000	600000	265000	270000
1	42	0	10181	397	0.448081	595000	600000	265000	270000
1	44	0	10220	394	0.444695	595000	600000	265000	270000
1	46	0	10311	406	0.458239	595000	600000	265000	270000
1	48	0	10134	392	0.442438	595000	600000	265000	270000
1	50	0	10186	390	0.440181	595000	600000	265000	270000
1	52	0	10293	386	0.435666	595000	600000	265000	270000
1	54	0	10002	400	0.451467	595000	600000	265000	270000
1	56	0	10424	398	0.44921	595000	600000	265000	270000
1	58	0	10555	404	0.455982	595000	600000	265000	270000
1	60	0	10252	396	0.446953	595000	600000	265000	270000
